BRC Query,Data Size
"[[(43171816.4766692, 47338232.46052355), (235.87974954193902, 299.093049662163), (-101.59734239561669, -62.9763413201269)]]",0
"[[(1956196.960723891, 11533878.382985096), (170.72786901846484, 188.92854936616862), (-64.06501040854747, -35.81943589393682)]]",0
"[[(2421221.706685544, 4464317.712874401), (265.1810018389607, 278.8000546006652), (5.544986079075954, 8.12496099674161)]]",0
"[[(9653734.170905905, 19942837.265078485), (147.778277000048, 198.02607254881482), (13.846491587227518, 23.559145701198062)]]",0
"[[(3211033.651872621, 5647687.207705667), (158.82791532235476, 252.0442562878095), (-160.57910013182178, -98.09378693228527)]]",0
"[[(6672806.565703875, 14211631.641838297), (219.55002109704856, 228.67404666415345), (-54.8538607740543, -2.5324565642415777)]]",0
"[[(24209590.804670542, 29124093.569504805), (182.84242763993814, 187.39816288667154), (-51.35286081137913, 14.794353540662982)]]",0
"[[(34040513.64495597, 39534600.803729594), (140.34671546388677, 158.24695635654587), (-18.63786687911565, 21.542477764711478)]]",0
"[[(41360619.45777395, 46631534.91434815), (272.93414162035214, 326.05464663980916), (78.02023115680626, 134.46074845232565)]]",0
"[[(29546285.454528406, 33806905.76870807), (299.1245201038743, 394.9837706282286), (81.57378845126397, 110.4507318784304)]]",0
"[[(39220069.436710924, 45348508.19187515), (158.83490981883543, 256.36878524371093), (15.070608223225832, 44.6796690038434)]]",0
"[[(25659531.194665466, 34262183.30062707), (56.2140903935024, 59.547454446915836), (-74.50058364968726, -48.47429801125011)]]",0
"[[(15261825.19573751, 23528309.079416875), (208.6471336223517, 211.5705345841953), (-122.84589990519171, -100.43137974556197)]]",0
"[[(27795781.923682958, 31681714.468690928), (60.155826470657615, 138.27603717064437), (43.025321392792875, 90.48500718997772)]]",0
"[[(16327705.599865312, 25562916.08290817), (147.29692813170226, 229.59973557173137), (-116.14609707886294, -50.130329649181434)]]",0
"[[(5007669.759789315, 9725779.819270892), (190.29814128902893, 288.57136074717), (72.41022324078554, 121.8269563251452)]]",0
"[[(40691077.9810732, 44854572.65161807), (237.6710680288184, 327.8170447091579), (46.853672736999584, 106.04522762061276)]]",0
"[[(39559978.71535665, 45223439.16815666), (152.4124019488556, 167.4431858159563), (-155.0906099644736, -124.29461990261217)]]",0
"[[(18935491.349187758, 24880697.38882496), (162.14389507022452, 221.87703582253675), (12.947187316825534, 21.10758261859462)]]",0
"[[(23196869.57938036, 28931106.435220752), (247.01264662268727, 282.0857027387845), (-118.48792578051214, -103.54639701936755)]]",0
"[[(23116376.597151686, 32425602.22107555), (-60.89489184071883, 12.666445708645384), (-8.53548401107409, 31.617686982461244)]]",1319
"[[(38502684.922684856, 40867436.21304694), (295.52974711198726, 383.1352775997817), (34.729806602813795, 40.02723596903104)]]",0
"[[(31892474.254319876, 37194838.37408944), (173.70173312456734, 183.2799050558886), (-126.53772622426337, -72.87928092157286)]]",0
"[[(17400444.525980588, 17604844.419667713), (-62.0118994828433, 14.939844594363443), (-144.14955042324698, -137.90580793385203)]]",0
"[[(17995876.966856092, 21100801.57844365), (268.10270717590436, 278.76543079188986), (97.39949514172827, 142.53272058211655)]]",0
"[[(13873609.953679522, 17739144.51490564), (-9.564606836476358, 85.29070969264808), (78.2982665208701, 79.98889067674425)]]",0
"[[(3924861.5382920452, 14569200.96264252), (144.20204361167933, 148.30668248828886), (37.666705205387956, 42.652538861605514)]]",0
"[[(39137066.855744116, 41979316.8889424), (247.005328605108, 284.95914020924215), (-127.83949185703568, -65.87114630015606)]]",0
