,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,201319,5,201319,inf,0.0
1,0,6441311,0,6441311,inf,0.0
2,0,6289,10,6289,inf,0.0
3,0,201306,5,201306,inf,0.0
4,15,1610324,2,1610309,107354.93333333333,0.0009314895635909295
5,8,3220655,1,3220647,402581.875,0.00024839667707345244
6,0,6441311,0,6441311,inf,0.0
7,0,1,21,1,inf,0.0
8,0,1610331,2,1610331,inf,0.0
9,0,1610331,2,1610331,inf,0.0
10,967228,6441311,0,5474083,6.659558035954294,15.01601149207048
11,0,1610324,2,1610324,inf,0.0
12,28895,3220655,1,3191760,111.46063332756532,0.8971777480046761
13,0,6441311,0,6441311,inf,0.0
14,15654,402582,4,386928,25.717516289766195,3.888400375575659
15,0,3220655,1,3220655,inf,0.0
16,169,3220655,1,3220486,19057.13017751479,0.005247379803176683
17,0,213,15,213,inf,0.0
18,5797,3220655,1,3214858,555.5727100224254,0.17999444212435048
19,8,402583,4,402575,50322.875,0.001987167863521311
20,0,201306,5,201306,inf,0.0
21,0,201319,5,201319,inf,0.0
22,14745,402582,4,387837,27.3029501525941,3.662607866223527
23,0,12667,9,12667,inf,0.0
24,33,786,13,753,23.818181818181817,4.198473282442748
25,7,1610324,2,1610317,230046.2857142857,0.0004346951296757671
26,0,17,20,17,inf,0.0
27,0,25163,8,25163,inf,0.0
28,0,13,19,13,inf,0.0
29,0,786,13,786,inf,0.0
30,7,201306,5,201299,28758.0,0.0034772932749148064
31,0,805164,3,805164,inf,0.0
32,0,1610331,2,1610331,inf,0.0
33,1990,3220655,1,3218665,1618.4195979899498,0.061788673422021295
34,0,100683,6,100683,inf,0.0
35,0,402582,4,402582,inf,0.0
36,0,392,14,392,inf,0.0
37,101481,3220655,1,3119174,31.736531961647994,3.1509428982613787
38,91418,3220655,1,3129237,35.229987529808135,2.8384909280876096
39,0,201306,5,201306,inf,0.0
40,0,100653,6,100653,inf,0.0
41,0,50329,7,50329,inf,0.0
42,0,12667,9,12667,inf,0.0
43,4596,1610324,2,1605728,350.3751087902524,0.28540840228426084
44,0,211,15,211,inf,0.0
45,15073,100658,6,85585,6.67803356995953,14.97446800055634
46,0,1610331,2,1610331,inf,0.0
47,0,1610331,2,1610331,inf,0.0
48,8215,402582,4,394367,49.005721241631164,2.0405780685673975
49,0,12581,9,12581,inf,0.0
50,0,1610331,2,1610331,inf,0.0
51,0,17,20,17,inf,0.0
52,0,201306,5,201306,inf,0.0
53,0,1610331,2,1610331,inf,0.0
54,0,100683,6,100683,inf,0.0
55,0,13,19,13,inf,0.0
56,2,1610324,2,1610322,805162.0,0.0001241986084787906
57,43,6441311,0,6441268,149797.93023255814,0.0006675659659966737
58,66,25163,8,25097,381.25757575757575,0.26228987004729165
59,0,1610331,2,1610331,inf,0.0
60,0,792,13,792,inf,0.0
61,0,1610331,2,1610331,inf,0.0
62,0,25163,8,25163,inf,0.0
63,0,25163,8,25163,inf,0.0
64,1117891,6441311,0,5323420,5.762020626340135,17.355022913813663
65,0,17,20,17,inf,0.0
66,199376,1610331,2,1410955,8.076854786935238,12.381057062181625
67,23922,3220655,1,3196733,134.6315107432489,0.7427681636188912
68,0,196,15,196,inf,0.0
69,0,12667,9,12667,inf,0.0
70,0,4,21,4,inf,0.0
71,0,3220655,1,3220655,inf,0.0
72,186921,3220655,1,3033734,17.230033008597214,5.80381940940585
73,0,1610331,2,1610331,inf,0.0
74,0,1610331,2,1610331,inf,0.0
75,0,1610331,2,1610331,inf,0.0
76,0,6279,10,6279,inf,0.0
77,0,13,19,13,inf,0.0
78,0,201306,5,201306,inf,0.0
79,8,3220655,1,3220647,402581.875,0.00024839667707345244
80,228299,3220655,1,2992356,14.10717961970924,7.088589122399015
81,1811657,6441311,0,4629654,3.5554804248265537,28.12559430836362
82,2929,3220655,1,3217726,1099.574940252646,0.09094423339351777
83,1050,805167,3,804117,766.8257142857143,0.1304077290798058
84,0,201319,5,201319,inf,0.0
85,0,1610331,2,1610331,inf,0.0
86,0,13,19,13,inf,0.0
87,349256,3220655,1,2871399,9.22147364683785,10.844253730995714
88,0,1610331,2,1610331,inf,0.0
89,16,50329,7,50313,3145.5625,0.031790816427904385
90,0,3,21,3,inf,0.0
91,1466519,3220655,1,1754136,2.1961222459443075,45.5348058081353
92,0,25163,8,25163,inf,0.0
93,0,13,19,13,inf,0.0
94,0,1610331,2,1610331,inf,0.0
95,870533,3220655,1,2350122,3.699635740402719,27.029688060347972
96,0,49,17,49,inf,0.0
97,0,805164,3,805164,inf,0.0
98,0,805167,3,805167,inf,0.0
99,0,201306,5,201306,inf,0.0
100,0,1610331,2,1610331,inf,0.0
101,31,805164,3,805133,25973.032258064515,0.003850147299183769
102,0,1610331,2,1610331,inf,0.0
103,0,1610324,2,1610324,inf,0.0
104,76,3220655,1,3220579,42377.03947368421,0.0023597684321977983
105,0,100683,6,100683,inf,0.0
106,0,201306,5,201306,inf,0.0
107,0,100653,6,100653,inf,0.0
108,138644,3220655,1,3082011,23.22967456218805,4.304838612021468
109,1133,3220655,1,3219522,2842.5904677846424,0.035179179390527705
110,0,211,15,211,inf,0.0
111,0,1610331,2,1610331,inf,0.0
112,0,100653,6,100653,inf,0.0
113,0,201306,5,201306,inf,0.0
114,0,1610331,2,1610331,inf,0.0
115,0,1610331,2,1610331,inf,0.0
116,71564,3220655,1,3149091,45.00384271421385,2.222032474760569
117,80,3220655,1,3220575,40258.1875,0.0024839667707345246
118,0,100683,6,100683,inf,0.0
119,0,3,21,3,inf,0.0
120,0,12667,9,12667,inf,0.0
121,0,6441311,0,6441311,inf,0.0
122,0,1610331,2,1610331,inf,0.0
123,0,6,20,6,inf,0.0
124,0,13,19,13,inf,0.0
125,0,25166,8,25166,inf,0.0
126,168135,3220655,1,3052520,19.15517292651738,5.220521912468116
127,39,3220655,1,3220616,82580.89743589744,0.0012109338007330807
128,669708,6441311,0,5771603,9.618088778990247,10.397075998969775
129,0,2,21,2,inf,0.0
130,0,6441311,0,6441311,inf,0.0
131,583847,6441311,0,5857464,11.032532495670955,9.064102012773487
132,0,201306,5,201306,inf,0.0
133,5724,3220655,1,3214931,562.6581062194269,0.17772782244605523
134,0,6290,10,6290,inf,0.0
135,62,25163,8,25101,405.85483870967744,0.24639351428684975
136,178,3220655,1,3220477,18093.567415730337,0.005526826064884317
137,0,805167,3,805167,inf,0.0
138,0,1610331,2,1610331,inf,0.0
139,0,13,19,13,inf,0.0
140,0,196,15,196,inf,0.0
141,991063,3220655,1,2229592,3.2496975469773366,30.772094496305876
142,0,1610331,2,1610331,inf,0.0
143,476789,3220655,1,2743866,6.754885284685678,14.80410040814679
144,28317,3220655,1,3192338,113.73574178055586,0.879231088086119
145,0,4,21,4,inf,0.0
146,0,1610331,2,1610331,inf,0.0
147,0,805164,3,805164,inf,0.0
148,2861,402582,4,399721,140.7137364557847,0.7106626724493396
149,0,1610331,2,1610331,inf,0.0
150,0,1610331,2,1610331,inf,0.0
151,186435,3220655,1,3034220,17.274948373427737,5.788729311273638
152,0,1610331,2,1610331,inf,0.0
153,0,201319,5,201319,inf,0.0
154,0,805164,3,805164,inf,0.0
155,0,13,19,13,inf,0.0
156,12,3220655,1,3220643,268387.9166666667,0.00037259501561017866
157,0,201306,5,201306,inf,0.0
158,0,1610331,2,1610331,inf,0.0
159,29422,3220655,1,3191233,109.46417646658962,0.9135408791068897
160,0,50329,7,50329,inf,0.0
161,86011,3220655,1,3134644,37.44468730743742,2.6706058239705897
162,0,100653,6,100653,inf,0.0
163,3474,3220655,1,3217181,927.073978123201,0.10786625701914672
164,0,6441311,0,6441311,inf,0.0
165,0,25163,8,25163,inf,0.0
166,0,201306,5,201306,inf,0.0
167,4248,3220655,1,3216407,758.157956685499,0.13189863552600323
168,109,3220655,1,3220546,29547.29357798165,0.0033844047251257894
169,0,805164,3,805164,inf,0.0
170,0,100653,6,100653,inf,0.0
171,0,25163,8,25163,inf,0.0
172,745,3220655,1,3219910,4323.026845637584,0.02313194055246526
173,0,13,19,13,inf,0.0
174,0,805164,3,805164,inf,0.0
175,3528,402582,4,399054,114.11054421768708,0.8763432046142152
176,6461,402582,4,396121,62.30954960532425,1.6048904322597632
177,145152,3220655,1,3075503,22.18815448633157,4.506909308820721
178,45,3220655,1,3220610,71570.11111111111,0.0013972313085381701
179,0,3220655,1,3220655,inf,0.0
180,0,6441311,0,6441311,inf,0.0
181,0,13,19,13,inf,0.0
182,0,402582,4,402582,inf,0.0
183,0,1610331,2,1610331,inf,0.0
184,0,201306,5,201306,inf,0.0
185,14731,1610331,2,1595600,109.31579661937411,0.9147808742426246
186,0,1610331,2,1610331,inf,0.0
187,0,1610331,2,1610331,inf,0.0
188,49,3220655,1,3220606,65727.6530612245,0.0015214296470748962
189,0,201306,5,201306,inf,0.0
190,219,3220655,1,3220436,14706.187214611871,0.00679985903488576
191,0,1610331,2,1610331,inf,0.0
192,0,25166,8,25166,inf,0.0
193,4,50326,7,50322,12581.5,0.00794817788022096
194,99,3220655,1,3220556,32531.868686868685,0.003073908878783974
195,0,201306,5,201306,inf,0.0
196,933,3220655,1,3219722,3451.9346195069666,0.02896926246369139
197,0,17,20,17,inf,0.0
198,0,3144,11,3144,inf,0.0
199,4779,1610324,2,1605545,336.95835948943295,0.29677257496007015
200,0,805167,3,805167,inf,0.0
201,0,805164,3,805164,inf,0.0
202,549375,3220655,1,2671280,5.862398179749715,17.057865558403492
203,0,6441311,0,6441311,inf,0.0
204,0,395,14,395,inf,0.0
205,183,3220655,1,3220472,17599.207650273223,0.005682073988055225
206,154,402582,4,402428,2614.1688311688313,0.038253076391890344
207,260252,3220655,1,2960403,12.375140248682047,8.080716500215019
208,0,201306,5,201306,inf,0.0
209,0,6,20,6,inf,0.0
210,0,1610331,2,1610331,inf,0.0
211,0,805164,3,805164,inf,0.0
212,0,100653,6,100653,inf,0.0
213,1588,805164,3,803576,507.0302267002519,0.1972269003581879
214,0,392,14,392,inf,0.0
215,148012,6441311,0,6293299,43.518843066778366,2.297855203699992
216,0,25166,8,25166,inf,0.0
217,172229,3220655,1,3048426,18.699841490109097,5.3476389119604555
218,3607,3220655,1,3217048,892.8902134738009,0.11199585177549287
219,72781,3220655,1,3147874,44.25131559060744,2.259819819260368
220,0,100683,6,100683,inf,0.0
221,0,1610324,2,1610324,inf,0.0
222,0,6289,10,6289,inf,0.0
223,0,805160,3,805160,inf,0.0
224,776538,6441311,0,5664773,8.294907654229412,12.055589304723837
225,47,201306,5,201259,4283.106382978724,0.02334754056014227
226,12,201306,5,201294,16775.5,0.00596107418556824
227,0,1610331,2,1610331,inf,0.0
228,32,196,15,164,6.125,16.3265306122449
229,703719,3220655,1,2516936,4.576620781874584,21.85018264918161
230,0,805167,3,805167,inf,0.0
231,0,1610331,2,1610331,inf,0.0
232,0,3,21,3,inf,0.0
233,0,805164,3,805164,inf,0.0
234,0,2,22,2,inf,0.0
235,0,3158,11,3158,inf,0.0
236,0,6441311,0,6441311,inf,0.0
237,0,1610331,2,1610331,inf,0.0
238,8674,3220655,1,3211981,371.29986165552225,0.2693240971168908
239,0,1610331,2,1610331,inf,0.0
240,0,805167,3,805167,inf,0.0
241,0,1610331,2,1610331,inf,0.0
242,0,201306,5,201306,inf,0.0
243,42,3220655,1,3220613,76682.26190476191,0.0013040825546356254
244,0,17,20,17,inf,0.0
245,0,201306,5,201306,inf,0.0
246,6032,6441311,0,6435279,1067.8565981432362,0.09364553271841711
247,54100,3220655,1,3166555,59.5315157116451,1.679782528709222
248,9793,3220655,1,3210862,328.8731747166343,0.30406858232253997
249,226452,3220655,1,2994203,14.222241357991981,7.031240539579682
250,2106,6441311,0,6439205,3058.5522317188984,0.03269520754393011
251,0,201306,5,201306,inf,0.0
252,0,201288,5,201288,inf,0.0
253,4,402582,4,402578,100645.5,0.0009935863997893597
254,135512,3220655,1,3085143,23.766566798512308,4.207591312947211
255,0,805164,3,805164,inf,0.0
256,0,201319,5,201319,inf,0.0
257,582750,3220655,1,2637905,5.526649506649506,18.0941454455693
258,0,201306,5,201306,inf,0.0
259,0,1610331,2,1610331,inf,0.0
260,4172,3220655,1,3216483,771.9690795781399,0.12953886709380544
261,5721,805167,3,799446,140.73885684320922,0.7105358267291134
262,0,805164,3,805164,inf,0.0
263,0,201319,5,201319,inf,0.0
264,0,12580,9,12580,inf,0.0
265,0,13,19,13,inf,0.0
266,0,1610331,2,1610331,inf,0.0
267,0,17,20,17,inf,0.0
268,0,201306,5,201306,inf,0.0
269,0,100653,6,100653,inf,0.0
270,0,8,20,8,inf,0.0
271,439,1572,12,1133,3.580865603644647,27.92620865139949
272,746570,3220655,1,2474085,4.313935732751115,23.180688400340923
273,0,805164,3,805164,inf,0.0
274,0,201306,5,201306,inf,0.0
275,0,201319,5,201319,inf,0.0
276,0,25163,8,25163,inf,0.0
277,0,1610331,2,1610331,inf,0.0
278,0,201306,5,201306,inf,0.0
279,313,3220655,1,3220342,10289.632587859425,0.009718519990498827
280,19,3220655,1,3220636,169508.15789473685,0.0005899421080494496
281,0,1610331,2,1610331,inf,0.0
282,44106,3220655,1,3176549,73.02079082211037,1.3694729798752117
283,0,805164,3,805164,inf,0.0
284,399719,3220655,1,2820936,8.057297751670548,12.411108920390419
285,0,3,21,3,inf,0.0
286,0,1610331,2,1610331,inf,0.0
287,3,3220655,1,3220652,1073551.6666666667,9.314875390254466e-05
288,361160,3220655,1,2859495,8.917529626758224,11.213867986481011
289,2368221,6441311,0,4073090,2.719894384856819,36.76613347810718
290,319520,3220655,1,2901135,10.079666374561842,9.920963282313691
291,39321,3220655,1,3181334,81.90674194450803,1.220900717400653
292,16,3220655,1,3220639,201290.9375,0.0004967933541469049
293,1,201288,5,201287,201288.0,0.0004968006041095346
294,0,1610331,2,1610331,inf,0.0
295,0,201306,5,201306,inf,0.0
296,14657,3220655,1,3205998,219.73493893702667,0.4550937619831991
297,0,26,18,26,inf,0.0
298,59,3220655,1,3220596,54587.372881355936,0.0018319254934167119
299,0,196,15,196,inf,0.0
300,4,6289,10,6285,1572.25,0.06360311655271109
301,0,1610324,2,1610324,inf,0.0
302,0,786,13,786,inf,0.0
303,68,1610331,2,1610263,23681.33823529412,0.004222734332258399
304,165,402583,4,402418,2439.89696969697,0.04098533718512704
305,0,3,21,3,inf,0.0
306,0,1610331,2,1610331,inf,0.0
307,0,25163,8,25163,inf,0.0
308,0,201306,5,201306,inf,0.0
309,30,3220655,1,3220625,107355.16666666667,0.0009314875390254467
310,0,13,19,13,inf,0.0
311,0,201306,5,201306,inf,0.0
312,0,1610331,2,1610331,inf,0.0
313,0,211,15,211,inf,0.0
314,0,17,20,17,inf,0.0
315,0,805164,3,805164,inf,0.0
316,0,25163,8,25163,inf,0.0
317,0,26,18,26,inf,0.0
318,0,100653,6,100653,inf,0.0
319,77245,3220655,1,3143410,41.69402550326882,2.3984251650673545
320,0,196,15,196,inf,0.0
321,0,201306,5,201306,inf,0.0
322,0,392,14,392,inf,0.0
323,0,805164,3,805164,inf,0.0
324,19,1610324,2,1610305,84753.8947368421,0.0011798867805485106
325,0,3220655,1,3220655,inf,0.0
326,0,196,15,196,inf,0.0
327,0,1610324,2,1610324,inf,0.0
328,627324,3220655,1,2593331,5.133957890978187,19.47814963105331
329,0,2,22,2,inf,0.0
330,0,201306,5,201306,inf,0.0
331,497,3220655,1,3220158,6480.191146881288,0.015431643563188234
332,55,3220655,1,3220600,58557.36363636364,0.0017077271548799856
333,0,201306,5,201306,inf,0.0
334,0,1610331,2,1610331,inf,0.0
335,567672,3220655,1,2652983,5.673443467354388,17.62597980845511
336,514,3220655,1,3220141,6265.865758754864,0.015959486501969322
337,0,25163,8,25163,inf,0.0
