SRC Query,Depth,BBoxes,Data Size
"[[(43686176.068504065, 47059715.84794862), (32.708054300253906, 33.78073677056269), (-58.35760193503435, -17.901762395573705)]]",6,"[[41050144.0, 47487115.0], [30.26406815, 34.0626590583], [-97.7493124167, 6.740224373]]",19
"[[(46115353.943868354, 49443181.19465476), (33.615056585526325, 34.89652653531599), (-82.80943782931689, -52.583462343552455)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49323851.301398054, 51903733.8517013), (40.046523180397756, 42.661066039316836), (-57.48129054343174, -27.06966756012888)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(45188045.4100447, 48249303.65166162), (33.869588411990655, 36.02060374151131), (-38.65201806160704, -3.8246354144279806)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47474476.78536112, 49885143.89539883), (30.581858483975402, 35.021288489028215), (-67.66256768216883, -38.27939857571799)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49963985.20043903, 51514787.4338113), (40.246365163913, 46.60901297978951), (-82.46262560429821, -69.65809710481284)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(43710190.16189748, 44831295.46066447), (37.61597818909206, 41.69211555165348), (-42.69361829757125, -4.468890138916322)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(45625835.514668345, 46198308.60849591), (39.354753276461125, 43.89510130134947), (-34.875202469616724, -22.46157353119792)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(47888863.492424116, 48993010.59024441), (35.0524220445559, 38.602045902193694), (-78.22584163821381, -58.1402171690032)]]",8,"[[41050144.0, 50382548.0], [34.1675683167, 38.9852462167], [-118.2270631833, 6.740224373]]",4
"[[(43003199.75825891, 44119792.19570967), (42.878593045231774, 44.48794021576341), (-82.07014445683521, -40.750077043235144)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(48580777.782955974, 49355510.524615295), (37.666437608603786, 43.20659942099907), (-51.924040735838375, -23.435380308087286)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(42739952.769895695, 45794471.233088695), (34.3246508058791, 39.21422045130944), (-59.07178254605092, -18.34819683921227)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(49245146.70451425, 53308141.33147692), (35.22835914073479, 39.55454616604394), (-88.69051128725762, -48.66958462775227)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(42606511.88841589, 42734414.60866243), (34.53513217946634, 37.255405048288985), (-118.5417421361718, -92.10357240413755)]]",2,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], (-122.4271774292, 6.740224373)]",251
"[[(48824762.84302288, 51671279.22007757), (32.898091878746705, 35.41178789421984), (-51.773169684732224, -30.6403411392442)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(44620260.664277576, 46592695.4119721), (34.308274351677454, 37.341918860039065), (-104.15893969206589, -85.63681671341092)]]",8,"[[41050144.0, 50382548.0], [34.1675683167, 38.9852462167], [-118.2270631833, 6.740224373]]",4
"[[(45093532.86026728, 45450702.596016), (42.783312856170895, 44.916877823373255), (-76.99620110371131, -36.152480675531805)]]",6,"[[41050144.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",16
"[[(49365448.22000097, 52586076.941963345), (30.490881250309936, 35.96254334911991), (-39.688856805090566, -12.610608612907072)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(43051985.3527852, 43322087.93665842), (34.18433532268318, 39.77550315027472), (-44.85560217149889, -38.42668331912963)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(47900046.66587773, 51694919.63719408), (35.0251354081617, 37.398941198106314), (-39.666555655643464, -9.406691947776014)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(47915186.75636723, 48305333.93658764), (41.06658148131197, 43.467070744324104), (-47.86617741838498, -19.17802093285736)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(44775456.12679828, 46434559.51761645), (34.77411008439803, 36.36618006724652), (-75.4714982176514, -72.31641355106908)]]",8,"[[41050144.0, 50382548.0], [34.1675683167, 38.9852462167], [-118.2270631833, 6.740224373]]",4
"[[(48840587.57897699, 50532453.19520785), (31.744374845877935, 34.45786196567107), (-41.50785528337477, -20.52744344932468)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45003916.32111749, 49118586.12568998), (30.52403211121894, 32.72781292520298), (-105.4313747907272, -95.6749907656687)]]",3,"[[41050144.0, 50885836.0], [30.2015573297, 34.0626590583], [-118.238405, 6.740224373]]",125
"[[(47342324.870778486, 48640591.41344674), (37.73830757260573, 42.899937015903994), (-44.96183299631049, -37.65570110572956)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(48160156.8611401, 48177040.972811654), (34.145101600109726, 35.84905574132203), (-65.2161472330373, -36.80575339363375)]]",7,"[[41050144.0, 50382548.0], [34.0626590583, 38.9852462167], [-118.2270631833, 6.740224373]]",8
"[[(48587286.02036069, 51858403.82366116), (35.35698917885339, 40.02738407108891), (-53.52366721499165, -34.65124514570307)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(41219356.35225385, 41404377.225895844), (36.22476260782118, 39.64268289333892), (-56.221926838728734, -35.637054565038596)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(49811535.09290594, 49887228.60220056), (30.8495344279922, 36.01451633170055), (-48.52971808412565, -21.996382483638893)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49036576.96653796, 53050405.80976131), (35.57686434408752, 38.793321980694046), (-74.55297385975413, -43.046273621486456)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(44793155.55596253, 45220952.715534486), (42.28915593784559, 46.56565216537953), (-57.843667077517566, -52.41973916581322)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(41349477.44261512, 43792428.77547384), (43.23676522941157, 48.932465490237085), (-120.26337584754133, -114.59184503213105)]]",2,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], (-122.4271774292, 6.740224373)]",251
"[[(49123785.553741366, 49700023.82608567), (33.62590369597205, 37.817195042893495), (-87.28123943498966, -47.213007449132085)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(41746434.87511969, 45908401.66744142), (32.0690509264838, 36.40372604482761), (-100.17833258484977, -63.81291604596019)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(47459790.87534824, 50076079.827984855), (31.737187721224277, 37.445967904637776), (-75.96334332320998, -72.05148408051768)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(46591240.06884654, 50516378.44134465), (42.27449931434392, 46.64531585799707), (-70.40997816839281, -34.978034121112664)]]",3,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",126
"[[(48760724.452097416, 51447645.41049662), (36.87860884549744, 39.967294024597244), (-37.44795706290017, -14.544058507578363)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(48381653.54364006, 51950582.25584628), (35.42780918129272, 41.49584787822651), (-51.2284907843013, -19.12074483526082)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(47679793.0759364, 49185449.426572785), (38.71334647564562, 40.89894678641246), (-88.34433973906386, -69.6696371441067)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(45566205.56206848, 49252333.9814599), (30.49005823801171, 36.304491825872454), (-100.8135766028399, -84.02083320322171)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49816505.76200526, 51318729.72374232), (36.53731305100009, 42.29479985396459), (-74.61422896772274, -42.28438549647292)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(43059066.06333417, 45129843.03721873), (35.27223875499351, 40.26663166046297), (-120.23691435467238, -93.24196001829173)]]",2,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], (-122.4271774292, 6.740224373)]",251
"[[(42564226.43160029, 45808701.66638511), (40.11126840396592, 44.91923189419325), (-102.56321181091846, -94.60740863363606)]]",8,"[[41050144.0, 46376561.0], [39.1933075167, 50.381005442], [-118.28350965, -94.5931743]]",4
"[[(43836247.594936386, 45904206.345928915), (41.35621600592604, 44.811274342855214), (-40.16125066013245, -1.9823384039126708)]]",6,"[[41050144.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",16
"[[(41262229.43466734, 43888906.89043637), (42.91581955579378, 47.478373257836395), (-61.617682783524394, -50.64768902602258)]]",8,"[[41050144.0, 45286384.0], [38.9852462167, 48.419669031], [-94.5931743, 6.740224373]]",4
"[[(48743391.03629211, 50160932.57631731), (38.820736698405156, 40.30378456170719), (-54.915471496481416, -36.18259683251129)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(47128641.913791664, 48877270.38653313), (41.501850323754674, 45.80837213350835), (-121.07836206348064, -93.62692558554993)]]",2,"[[41050144.0, 50885836.0], [34.0626590583, 50.381005442], (-122.4271774292, 6.740224373)]",251
"[[(48066914.67979049, 50666418.6818012), (31.180359734620254, 36.17798115655488), (-78.94549707161633, -48.31423015270835)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(43263039.19326406, 45518912.74877536), (38.42504390681904, 42.30059894256454), (-47.80190666845954, -26.68123237842351)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(49911745.477498464, 54051258.68954772), (34.855017981007755, 37.558727705950034), (-98.76571518377057, -62.992249795356834)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(45696905.25405183, 48066510.47238035), (42.57938828842086, 46.618730338297695), (-53.704955695661255, -35.29613143162647)]]",7,"[[45286384.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",8
"[[(45927919.67470467, 46548546.872988544), (34.63444994364398, 38.54228249334662), (-116.61158819583208, -104.188022862234)]]",8,"[[41050144.0, 50382548.0], [34.1675683167, 38.9852462167], [-118.2270631833, 6.740224373]]",4
"[[(47894989.21601544, 49932311.04836798), (30.888782655334097, 34.414873727626535), (-103.40463919748105, -70.04348672542986)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(45466437.96333594, 45557226.8767051), (37.87921005648105, 40.567550297471435), (-116.74888134827779, -111.55538476187861)]]",4,"[[41050144.0, 50388181.0], [34.0626590583, 50.381005442], [-118.28350965, 6.740224373]]",63
"[[(47360918.716793075, 48164263.32167684), (31.512614867391605, 34.69942287135543), (-98.09455926539422, -65.28783942689216)]]",1,"[[41050144.0, 50885836.0], (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",500
"[[(49124230.540854745, 52678915.14301943), (34.439763158175836, 36.80407682006594), (-78.96934004393448, -40.42451557990141)]]",0,"[(41050144.0, 54173030.0), (30.2015573297, 50.381005442), (-122.4271774292, 6.740224373)]",1000
"[[(44252114.73075721, 44647281.59090772), (40.042698880986244, 44.61666632927825), (-110.56906335462452, -79.66071326021765)]]",5,"[[41050144.0, 50388181.0], [38.9852462167, 50.381005442], [-118.28350965, 6.740224373]]",32
"[[(46906711.09912949, 48965769.509998016), (42.04706691695412, 43.694848225128496), (-83.13961260443517, -78.53728710223271)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(47044704.72462139, 47657894.438320726), (42.982545633657566, 45.086443661037464), (-46.11023543168042, -20.15802462469268)]]",8,"[[45286384.0, 50388181.0], [38.9852462167, 45.95037652], [-94.5931743, 6.740224373]]",4
"[[(42200228.72173781, 45396340.2347949), (41.28737029699668, 43.8478392208076), (-35.62853681608661, -30.49045790396812)]]",6,"[[41050144.0, 50388181.0], [38.9852462167, 50.381005442], [-94.5931743, 6.740224373]]",16
