BRC Query,Data Size
"[[(39250335.05, 39619476.2), (-90.0, 405.658498), (-176.30859375, -3882175.52)]]",0
"[[(38765274.79, 48245561.24), (-90.0, -1899637.06), (-176.30859375, -302215.01)]]",0
"[[(9404011.64, 15967296.21), (-90.0, -2325042.38), (-176.30859375, 177.462490797)]]",0
"[[(13409397.19, 18275249.93), (-90.0, 405.658498), (-176.30859375, -8582618.97)]]",0
"[[(9186303.52, 12377056.68), (-90.0, -1989064.05), (-176.30859375, -1227382.3)]]",0
"[[(30191060.5, 38346583.4), (-90.0, -5727447.53), (-176.30859375, -1901061.25)]]",0
"[[(21766293.68, 31360807.85), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",606718
"[[(40681538.91, 42754912.91), (-90.0, -1546771.8), (-176.30859375, -4605052.59)]]",0
"[[(15370271.52, 18205427.85), (-90.0, -2564379.85), (-176.30859375, -652536.13)]]",0
"[[(6280996.61, 11646972.46), (-90.0, -634187.09), (-176.30859375, 177.462490797)]]",0
