SRC Query,Depth,BBoxes,Data Size
"[[(36937127.73, 43210685.74), (-90.0, 405.658498), (-176.30859375, -3058011.0)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(26827894.95, 28521888.56), (-90.0, 405.658498), (-176.30859375, -2470809.16)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(43307328.27, 46773618.76), (-90.0, 405.658498), (-176.30859375, -6174097.26)]]",0,"[(278258.0, 54364926.0), (-90.0, 405.658498), (-176.30859375, 177.462490797)]",6441311
"[[(31462143.3, 32156381.05), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(46241990.56, 49429962.24), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",1,"[[44747854.0, 54364926.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220656
"[[(5061540.43, 11957970.3), (-90.0, 405.658498), (-176.30859375, -4658224.0)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(12065512.51, 15677497.17), (-90.0, 405.658498), (-176.30859375, -220616.87)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(45982677.98, 48220621.69), (-90.0, -1110823.44), (-176.30859375, -1895491.26)]]",6,"[[44747854.0, 49821996.0], [-90.0, 33.3038861667], [-176.30859375, -97.7378726006]]",100638
"[[(42764262.48, 50107818.13), (-90.0, -6499786.76), (-176.30859375, 177.462490797)]]",0,"[(278258.0, 54364926.0), (-90.0, 405.658498), (-176.30859375, 177.462490797)]",6441311
"[[(45860310.3, 49971321.98), (-90.0, -199315.01), (-176.30859375, 177.462490797)]]",2,"[[44747854.0, 54364926.0], [-90.0, 40.465739403], (-176.30859375, 177.462490797)]",1610327
