SRC Query,Depth,BBoxes,Data Size
"[[(4183092.81, 6478630.49), (-90.0, 405.658498), (-176.30859375, -4444180.09)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(11313478.02, 13147427.27), (-90.0, -1691131.94), (-176.30859375, -4739978.14)]]",20,"[[278258.0, 24542773.0], [-90.0, 21.316208007], [-176.30859375, -157.8627070785]]",4
"[[(9360839.76, 14441130.79), (-90.0, -901005.34), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(35944543.96, 37541107.34), (-90.0, -309237.47), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(44026323.09, 48921870.03), (-90.0, -2757514.31), (-176.30859375, 177.462490797)]]",0,"[(278258.0, 54364926.0), (-90.0, 405.658498), (-176.30859375, 177.462490797)]",6441311
"[[(47150131.25, 49146587.26), (-90.0, -3288646.35), (-176.30859375, 177.462490797)]]",2,"[[44747854.0, 54364926.0], [-90.0, 40.465739403], (-176.30859375, 177.462490797)]",1610327
"[[(28648305.33, 29341113.27), (-90.0, -1979424.82), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(35629747.16, 39913815.44), (-90.0, -2784789.44), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(37359099.01, 40723369.75), (-90.0, -2862925.14), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(19942791.08, 22945089.03), (-90.0, -4047335.36), (-176.30859375, -1774481.18)]]",20,"[[278258.0, 24542773.0], [-90.0, 21.316208007], [-176.30859375, -157.8627070785]]",4
"[[(24346814.29, 27773857.6), (-90.0, -2129132.14), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(42111452.7, 43882833.51), (-90.0, -1277802.02), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(790196.69, 4043610.36), (-90.0, 405.658498), (-176.30859375, -2437094.04)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(9889014.07, 10382166.19), (-90.0, 405.658498), (-176.30859375, -1604029.48)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(17489330.19, 18188381.6), (-90.0, 405.658498), (-176.30859375, -1928224.93)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(46105714.48, 50590728.57), (-90.0, -148785.34), (-176.30859375, 177.462490797)]]",2,"[[44747854.0, 54364926.0], [-90.0, 40.465739403], (-176.30859375, 177.462490797)]",1610327
"[[(36240231.4, 36437380.53), (-90.0, 405.658498), (-176.30859375, -4031628.58)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(46679416.31, 50966042.38), (-90.0, -467866.91), (-176.30859375, 177.462490797)]]",2,"[[44747854.0, 54364926.0], [-90.0, 40.465739403], (-176.30859375, 177.462490797)]",1610327
"[[(42480890.09, 45128634.39), (-90.0, 405.658498), (-176.30859375, -4025713.8)]]",0,"[(278258.0, 54364926.0), (-90.0, 405.658498), (-176.30859375, 177.462490797)]",6441311
"[[(2836622.29, 5569389.52), (-90.0, -3295931.17), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(45541778.55, 48981522.58), (-90.0, 405.658498), (-176.30859375, -1883082.03)]]",1,"[[44747854.0, 54364926.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220656
"[[(4170339.65, 5406903.7), (-90.0, -2206499.17), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(6090638.82, 7122609.28), (-90.0, -4247048.69), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(34218033.98, 35967194.38), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(41649388.7, 43074966.69), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(7192127.98, 8060618.91), (-90.0, -160154.67), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(34670758.25, 37780434.02), (-90.0, -675396.42), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(40009032.63, 43286036.62), (-90.0, -1583371.82), (-176.30859375, -242374.54)]]",6,"[[36194432.0, 44747854.0], [-90.0, 34.0014169667], [-176.30859375, -98.1538846]]",100640
"[[(1429933.12, 5593360.44), (-90.0, 405.658498), (-176.30859375, -188002.6)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
"[[(29609062.29, 31803674.41), (-90.0, -1334976.99), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(40169632.14, 43352674.66), (-90.0, -583495.54), (-176.30859375, 177.462490797)]]",2,"[[278258.0, 44747854.0], [-90.0, 39.0926514], (-176.30859375, 177.462490797)]",1610324
"[[(17520084.22, 20659819.51), (-90.0, -1617767.49), (-176.30859375, -1010942.37)]]",20,"[[278258.0, 24542773.0], [-90.0, 21.316208007], [-176.30859375, -157.8627070785]]",4
"[[(22989471.57, 26997869.29), (-90.0, -616314.67), (-176.30859375, -4657953.43)]]",12,"[[278258.0, 28937563.0], [-90.0, 21.97574225], [-176.30859375, -157.8434300423]]",1559
"[[(10369139.21, 15394449.71), (-90.0, 405.658498), (-176.30859375, 177.462490797)]]",1,"[[278258.0, 44747854.0], (-90.0, 405.658498), (-176.30859375, 177.462490797)]",3220655
