,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,3220655,3220655,1,0,1.0,100.0
1,4,4,20,0,1.0,100.0
2,1610324,1610324,2,0,1.0,100.0
3,1610324,1610324,2,0,1.0,100.0
4,6441311,6441311,0,0,1.0,100.0
5,1610327,1610327,2,0,1.0,100.0
6,1610324,1610324,2,0,1.0,100.0
7,1610324,1610324,2,0,1.0,100.0
8,1610324,1610324,2,0,1.0,100.0
9,4,4,20,0,1.0,100.0
10,1610324,1610324,2,0,1.0,100.0
11,1610324,1610324,2,0,1.0,100.0
12,3220655,3220655,1,0,1.0,100.0
13,3220655,3220655,1,0,1.0,100.0
14,3220655,3220655,1,0,1.0,100.0
15,1610327,1610327,2,0,1.0,100.0
16,3220655,3220655,1,0,1.0,100.0
17,1610327,1610327,2,0,1.0,100.0
18,6441311,6441311,0,0,1.0,100.0
19,1610324,1610324,2,0,1.0,100.0
20,3220656,3220656,1,0,1.0,100.0
21,1610324,1610324,2,0,1.0,100.0
22,1610324,1610324,2,0,1.0,100.0
23,3220655,3220655,1,0,1.0,100.0
24,3220655,3220655,1,0,1.0,100.0
25,1610324,1610324,2,0,1.0,100.0
26,1610324,1610324,2,0,1.0,100.0
27,100640,100640,6,0,1.0,100.0
28,3220655,3220655,1,0,1.0,100.0
29,1610324,1610324,2,0,1.0,100.0
30,1610324,1610324,2,0,1.0,100.0
31,4,4,20,0,1.0,100.0
32,1559,1559,12,0,1.0,100.0
33,3220655,3220655,1,0,1.0,100.0
34,1610324,1610324,2,0,1.0,100.0
35,4,4,20,0,1.0,100.0
36,3220655,3220655,1,0,1.0,100.0
37,3220655,3220655,1,0,1.0,100.0
38,3220655,3220655,1,0,1.0,100.0
39,12577,12577,9,0,1.0,100.0
40,3220655,3220655,1,0,1.0,100.0
41,1610327,1610327,2,0,1.0,100.0
42,6441311,6441311,0,0,1.0,100.0
43,805160,805160,3,0,1.0,100.0
44,3220655,3220655,1,0,1.0,100.0
45,4,4,20,0,1.0,100.0
46,1610327,1610327,2,0,1.0,100.0
47,100628,100628,6,0,1.0,100.0
48,1610324,1610324,2,0,1.0,100.0
49,3220655,3220655,1,0,1.0,100.0
50,3220655,3220655,1,0,1.0,100.0
51,3220655,3220655,1,0,1.0,100.0
52,3220655,3220655,1,0,1.0,100.0
53,4,4,20,0,1.0,100.0
54,3220655,3220655,1,0,1.0,100.0
55,3220655,3220655,1,0,1.0,100.0
56,1610324,1610324,2,0,1.0,100.0
57,3220656,3220656,1,0,1.0,100.0
58,1610324,1610324,2,0,1.0,100.0
59,3220655,3220655,1,0,1.0,100.0
60,3220655,3220655,1,0,1.0,100.0
61,3220655,3220655,1,0,1.0,100.0
62,3220655,3220655,1,0,1.0,100.0
63,3220655,3220655,1,0,1.0,100.0
64,1610324,1610324,2,0,1.0,100.0
65,3220655,3220655,1,0,1.0,100.0
66,100640,100640,6,0,1.0,100.0
67,3220655,3220655,1,0,1.0,100.0
68,3220655,3220655,1,0,1.0,100.0
69,805160,805160,3,0,1.0,100.0
70,100640,100640,6,0,1.0,100.0
71,4,4,20,0,1.0,100.0
72,3220655,3220655,1,0,1.0,100.0
73,1610324,1610324,2,0,1.0,100.0
74,1610324,1610324,2,0,1.0,100.0
75,3220655,3220655,1,0,1.0,100.0
76,6441311,6441311,0,0,1.0,100.0
77,1610324,1610324,2,0,1.0,100.0
78,3220655,3220655,1,0,1.0,100.0
79,6441311,6441311,0,0,1.0,100.0
80,3220655,3220655,1,0,1.0,100.0
81,3220655,3220655,1,0,1.0,100.0
82,4,4,20,0,1.0,100.0
83,3220655,3220655,1,0,1.0,100.0
84,1610324,1610324,2,0,1.0,100.0
85,12577,12577,9,0,1.0,100.0
86,6441311,6441311,0,0,1.0,100.0
87,100628,100628,6,0,1.0,100.0
88,1610324,1610324,2,0,1.0,100.0
89,3220655,3220655,1,0,1.0,100.0
90,3220656,3220656,1,0,1.0,100.0
91,1610324,1610324,2,0,1.0,100.0
92,1610324,1610324,2,0,1.0,100.0
93,1610324,1610324,2,0,1.0,100.0
94,1610327,1610327,2,0,1.0,100.0
95,1610324,1610324,2,0,1.0,100.0
96,3220655,3220655,1,0,1.0,100.0
97,3220655,3220655,1,0,1.0,100.0
98,3220655,3220655,1,0,1.0,100.0
99,1610324,1610324,2,0,1.0,100.0
100,1610324,1610324,2,0,1.0,100.0
101,3220655,3220655,1,0,1.0,100.0
102,1610324,1610324,2,0,1.0,100.0
103,1610324,1610324,2,0,1.0,100.0
104,1610324,1610324,2,0,1.0,100.0
105,12577,12577,9,0,1.0,100.0
106,12578,12578,9,0,1.0,100.0
107,1610327,1610327,2,0,1.0,100.0
108,1610327,1610327,2,0,1.0,100.0
109,3220655,3220655,1,0,1.0,100.0
110,1610324,1610324,2,0,1.0,100.0
111,1610324,1610324,2,0,1.0,100.0
112,3220655,3220655,1,0,1.0,100.0
113,805160,805160,3,0,1.0,100.0
114,4,4,20,0,1.0,100.0
115,3220655,3220655,1,0,1.0,100.0
116,1610324,1610324,2,0,1.0,100.0
117,1610327,1610327,2,0,1.0,100.0
118,1559,1559,12,0,1.0,100.0
119,1610324,1610324,2,0,1.0,100.0
120,12578,12578,9,0,1.0,100.0
121,3220655,3220655,1,0,1.0,100.0
122,3220655,3220655,1,0,1.0,100.0
123,3220655,3220655,1,0,1.0,100.0
124,3220655,3220655,1,0,1.0,100.0
125,3220655,3220655,1,0,1.0,100.0
126,3220655,3220655,1,0,1.0,100.0
127,805153,805153,3,0,1.0,100.0
128,4,4,20,0,1.0,100.0
129,4,4,20,0,1.0,100.0
130,3220656,3220656,1,0,1.0,100.0
131,195,195,15,0,1.0,100.0
132,100638,100638,6,0,1.0,100.0
133,1610324,1610324,2,0,1.0,100.0
134,3220655,3220655,1,0,1.0,100.0
135,3220655,3220655,1,0,1.0,100.0
136,3220655,3220655,1,0,1.0,100.0
137,4,4,20,0,1.0,100.0
138,6441311,6441311,0,0,1.0,100.0
139,1610327,1610327,2,0,1.0,100.0
140,1610324,1610324,2,0,1.0,100.0
141,1610324,1610324,2,0,1.0,100.0
142,4,4,20,0,1.0,100.0
143,3220655,3220655,1,0,1.0,100.0
144,3220655,3220655,1,0,1.0,100.0
145,4,4,20,0,1.0,100.0
146,3220655,3220655,1,0,1.0,100.0
147,1610324,1610324,2,0,1.0,100.0
148,1610324,1610324,2,0,1.0,100.0
149,12577,12577,9,0,1.0,100.0
150,1610327,1610327,2,0,1.0,100.0
151,3220655,3220655,1,0,1.0,100.0
152,3220655,3220655,1,0,1.0,100.0
153,4,4,20,0,1.0,100.0
154,3220655,3220655,1,0,1.0,100.0
155,3220655,3220655,1,0,1.0,100.0
156,3220655,3220655,1,0,1.0,100.0
157,17,17,18,0,1.0,100.0
158,1610324,1610324,2,0,1.0,100.0
159,1610324,1610324,2,0,1.0,100.0
160,1610324,1610324,2,0,1.0,100.0
161,3220655,3220655,1,0,1.0,100.0
162,1610324,1610324,2,0,1.0,100.0
163,3220655,3220655,1,0,1.0,100.0
164,3220655,3220655,1,0,1.0,100.0
165,1610324,1610324,2,0,1.0,100.0
166,1610327,1610327,2,0,1.0,100.0
167,3220655,3220655,1,0,1.0,100.0
168,4,4,20,0,1.0,100.0
169,3220656,3220656,1,0,1.0,100.0
170,3220655,3220655,1,0,1.0,100.0
171,1610324,1610324,2,0,1.0,100.0
172,4,4,20,0,1.0,100.0
173,3220655,3220655,1,0,1.0,100.0
174,3220655,3220655,1,0,1.0,100.0
175,1610324,1610324,2,0,1.0,100.0
176,3220655,3220655,1,0,1.0,100.0
177,3220656,3220656,1,0,1.0,100.0
178,12579,12579,9,0,1.0,100.0
179,3220655,3220655,1,0,1.0,100.0
180,1610327,1610327,2,0,1.0,100.0
181,4,4,20,0,1.0,100.0
182,3220655,3220655,1,0,1.0,100.0
183,3220655,3220655,1,0,1.0,100.0
184,3220655,3220655,1,0,1.0,100.0
185,12577,12577,9,0,1.0,100.0
186,3220655,3220655,1,0,1.0,100.0
187,3220655,3220655,1,0,1.0,100.0
188,3220655,3220655,1,0,1.0,100.0
189,3220655,3220655,1,0,1.0,100.0
190,3220655,3220655,1,0,1.0,100.0
191,6441311,6441311,0,0,1.0,100.0
192,3220655,3220655,1,0,1.0,100.0
193,3220655,3220655,1,0,1.0,100.0
194,3220655,3220655,1,0,1.0,100.0
195,12577,12577,9,0,1.0,100.0
196,3220655,3220655,1,0,1.0,100.0
197,6441311,6441311,0,0,1.0,100.0
198,1610324,1610324,2,0,1.0,100.0
199,100640,100640,6,0,1.0,100.0
200,3220655,3220655,1,0,1.0,100.0
201,3220655,3220655,1,0,1.0,100.0
202,3220655,3220655,1,0,1.0,100.0
203,1610324,1610324,2,0,1.0,100.0
204,1610324,1610324,2,0,1.0,100.0
205,3220655,3220655,1,0,1.0,100.0
206,1610324,1610324,2,0,1.0,100.0
207,1610324,1610324,2,0,1.0,100.0
208,3220655,3220655,1,0,1.0,100.0
209,4,4,20,0,1.0,100.0
210,3220655,3220655,1,0,1.0,100.0
211,3220655,3220655,1,0,1.0,100.0
212,3220655,3220655,1,0,1.0,100.0
213,6441311,6441311,0,0,1.0,100.0
214,3220655,3220655,1,0,1.0,100.0
215,3220655,3220655,1,0,1.0,100.0
216,1610324,1610324,2,0,1.0,100.0
217,4,4,20,0,1.0,100.0
218,3220655,3220655,1,0,1.0,100.0
219,3220656,3220656,1,0,1.0,100.0
220,4,4,20,0,1.0,100.0
221,3220655,3220655,1,0,1.0,100.0
222,3220655,3220655,1,0,1.0,100.0
223,3220655,3220655,1,0,1.0,100.0
224,3220655,3220655,1,0,1.0,100.0
225,1610324,1610324,2,0,1.0,100.0
226,1610324,1610324,2,0,1.0,100.0
227,4,4,20,0,1.0,100.0
228,6441311,6441311,0,0,1.0,100.0
229,1610324,1610324,2,0,1.0,100.0
230,1610324,1610324,2,0,1.0,100.0
231,1559,1559,12,0,1.0,100.0
232,3220655,3220655,1,0,1.0,100.0
233,1610324,1610324,2,0,1.0,100.0
234,1610324,1610324,2,0,1.0,100.0
235,1610324,1610324,2,0,1.0,100.0
236,24,24,18,0,1.0,100.0
237,3220655,3220655,1,0,1.0,100.0
238,4,4,20,0,1.0,100.0
239,3220655,3220655,1,0,1.0,100.0
240,4,4,20,0,1.0,100.0
241,6441311,6441311,0,0,1.0,100.0
242,3220655,3220655,1,0,1.0,100.0
243,3220655,3220655,1,0,1.0,100.0
244,17,17,18,0,1.0,100.0
245,194,194,15,0,1.0,100.0
246,3220655,3220655,1,0,1.0,100.0
247,805153,805153,3,0,1.0,100.0
248,3220655,3220655,1,0,1.0,100.0
249,3220655,3220655,1,0,1.0,100.0
250,4,4,20,0,1.0,100.0
251,3220655,3220655,1,0,1.0,100.0
252,3220655,3220655,1,0,1.0,100.0
253,4,4,20,0,1.0,100.0
254,1610324,1610324,2,0,1.0,100.0
255,3220655,3220655,1,0,1.0,100.0
256,4,4,20,0,1.0,100.0
257,805153,805153,3,0,1.0,100.0
258,3220655,3220655,1,0,1.0,100.0
259,1610324,1610324,2,0,1.0,100.0
260,3220655,3220655,1,0,1.0,100.0
261,3220655,3220655,1,0,1.0,100.0
262,3220655,3220655,1,0,1.0,100.0
263,3220655,3220655,1,0,1.0,100.0
264,3220655,3220655,1,0,1.0,100.0
265,805153,805153,3,0,1.0,100.0
266,3220655,3220655,1,0,1.0,100.0
267,1610327,1610327,2,0,1.0,100.0
268,1559,1559,12,0,1.0,100.0
269,3220655,3220655,1,0,1.0,100.0
270,3220655,3220655,1,0,1.0,100.0
271,3220656,3220656,1,0,1.0,100.0
272,805153,805153,3,0,1.0,100.0
273,12577,12577,9,0,1.0,100.0
274,4,4,20,0,1.0,100.0
275,3220655,3220655,1,0,1.0,100.0
276,1610324,1610324,2,0,1.0,100.0
277,6441311,6441311,0,0,1.0,100.0
278,3220655,3220655,1,0,1.0,100.0
279,805153,805153,3,0,1.0,100.0
280,3220655,3220655,1,0,1.0,100.0
281,1610324,1610324,2,0,1.0,100.0
282,100640,100640,6,0,1.0,100.0
283,3220655,3220655,1,0,1.0,100.0
284,100640,100640,6,0,1.0,100.0
285,3220655,3220655,1,0,1.0,100.0
286,4,4,20,0,1.0,100.0
287,3220655,3220655,1,0,1.0,100.0
288,3220655,3220655,1,0,1.0,100.0
289,1610327,1610327,2,0,1.0,100.0
290,3220655,3220655,1,0,1.0,100.0
291,1610324,1610324,2,0,1.0,100.0
292,194,194,15,0,1.0,100.0
293,1610324,1610324,2,0,1.0,100.0
294,3220655,3220655,1,0,1.0,100.0
295,100640,100640,6,0,1.0,100.0
296,3220656,3220656,1,0,1.0,100.0
297,805153,805153,3,0,1.0,100.0
298,4,4,20,0,1.0,100.0
299,3220656,3220656,1,0,1.0,100.0
300,3220655,3220655,1,0,1.0,100.0
301,3220655,3220655,1,0,1.0,100.0
302,3220655,3220655,1,0,1.0,100.0
303,3220655,3220655,1,0,1.0,100.0
304,1610324,1610324,2,0,1.0,100.0
305,3220655,3220655,1,0,1.0,100.0
306,3220655,3220655,1,0,1.0,100.0
307,1610324,1610324,2,0,1.0,100.0
308,1610324,1610324,2,0,1.0,100.0
309,3220655,3220655,1,0,1.0,100.0
310,1610324,1610324,2,0,1.0,100.0
311,100628,100628,6,0,1.0,100.0
312,3220655,3220655,1,0,1.0,100.0
313,3220655,3220655,1,0,1.0,100.0
314,4,4,20,0,1.0,100.0
315,3220655,3220655,1,0,1.0,100.0
316,1610324,1610324,2,0,1.0,100.0
317,1610324,1610324,2,0,1.0,100.0
318,3220655,3220655,1,0,1.0,100.0
319,1610324,1610324,2,0,1.0,100.0
320,1610324,1610324,2,0,1.0,100.0
321,3220655,3220655,1,0,1.0,100.0
322,6441311,6441311,0,0,1.0,100.0
323,3220655,3220655,1,0,1.0,100.0
324,100628,100628,6,0,1.0,100.0
325,1610327,1610327,2,0,1.0,100.0
326,4,4,20,0,1.0,100.0
327,3220655,3220655,1,0,1.0,100.0
328,3220655,3220655,1,0,1.0,100.0
329,1610327,1610327,2,0,1.0,100.0
330,1610327,1610327,2,0,1.0,100.0
331,12577,12577,9,0,1.0,100.0
332,3220655,3220655,1,0,1.0,100.0
333,3220655,3220655,1,0,1.0,100.0
334,12564,12564,9,0,1.0,100.0
335,3220656,3220656,1,0,1.0,100.0
336,4,4,20,0,1.0,100.0
337,805153,805153,3,0,1.0,100.0
338,3220655,3220655,1,0,1.0,100.0
339,3220655,3220655,1,0,1.0,100.0
340,1610324,1610324,2,0,1.0,100.0
341,1610324,1610324,2,0,1.0,100.0
342,3220655,3220655,1,0,1.0,100.0
343,3220655,3220655,1,0,1.0,100.0
344,1610324,1610324,2,0,1.0,100.0
345,3220655,3220655,1,0,1.0,100.0
346,805160,805160,3,0,1.0,100.0
347,3220655,3220655,1,0,1.0,100.0
348,1610324,1610324,2,0,1.0,100.0
349,1610324,1610324,2,0,1.0,100.0
350,1610324,1610324,2,0,1.0,100.0
351,1610324,1610324,2,0,1.0,100.0
352,4,4,20,0,1.0,100.0
353,6441311,6441311,0,0,1.0,100.0
354,1610324,1610324,2,0,1.0,100.0
355,100640,100640,6,0,1.0,100.0
356,4,4,20,0,1.0,100.0
357,12578,12578,9,0,1.0,100.0
358,3220655,3220655,1,0,1.0,100.0
359,1610324,1610324,2,0,1.0,100.0
360,6441311,6441311,0,0,1.0,100.0
361,3220655,3220655,1,0,1.0,100.0
362,6441311,6441311,0,0,1.0,100.0
363,3220655,3220655,1,0,1.0,100.0
364,3220655,3220655,1,0,1.0,100.0
365,3220655,3220655,1,0,1.0,100.0
366,805153,805153,3,0,1.0,100.0
367,3220655,3220655,1,0,1.0,100.0
368,12577,12577,9,0,1.0,100.0
369,3220655,3220655,1,0,1.0,100.0
370,1610324,1610324,2,0,1.0,100.0
