BRC Query,Data Size
"[[(33.72, 35.09), (-116.49, -115.49)]]",316
"[[(36.41, 38.07), (-118.36, -116.73)]]",409
"[[(35.23, 36.33), (-124.25, -123.23)]]",0
"[[(36.4, 37.81), (-119.35, -118.0)]]",819
"[[(39.49, 41.12), (-117.9, -116.66)]]",0
"[[(37.6, 38.85), (-120.14, -119.14)]]",478
"[[(36.26, 37.85), (-116.81, -115.2)]]",25
"[[(38.6, 39.98), (-117.5, -116.12)]]",0
"[[(40.23, 41.45), (-121.97, -120.72)]]",619
"[[(40.16, 41.85), (-123.03, -121.38)]]",1126
"[[(37.18, 38.77), (-119.36, -118.08)]]",428
"[[(34.07, 35.62), (-121.49, -119.98)]]",696
"[[(37.4, 38.71), (-117.24, -115.91)]]",0
"[[(34.95, 36.34), (-122.09, -120.72)]]",423
"[[(34.14, 35.46), (-122.44, -120.74)]]",40
"[[(36.02, 37.32), (-121.91, -120.25)]]",853
"[[(34.72, 35.76), (-122.61, -121.42)]]",0
"[[(39.66, 41.36), (-120.66, -119.43)]]",470
"[[(35.71, 37.08), (-124.38, -123.25)]]",0
"[[(32.59, 33.64), (-118.9, -117.38)]]",107
"[[(37.08, 38.15), (-122.09, -120.65)]]",858
"[[(35.06, 36.12), (-119.05, -117.94)]]",638
"[[(35.36, 36.43), (-116.53, -115.1)]]",264
"[[(37.35, 39.02), (-118.99, -117.32)]]",238
"[[(37.22, 38.82), (-116.45, -115.29)]]",0
"[[(39.26, 40.91), (-123.34, -122.26)]]",810
"[[(33.63, 34.97), (-121.07, -119.82)]]",309
"[[(38.97, 40.04), (-118.37, -117.37)]]",0
"[[(38.12, 39.68), (-122.17, -121.04)]]",896
"[[(39.72, 41.29), (-120.39, -119.37)]]",213
"[[(33.69, 34.98), (-118.3, -117.09)]]",1453
"[[(39.81, 41.27), (-123.89, -122.19)]]",1076
"[[(34.83, 36.44), (-118.03, -116.51)]]",710
"[[(35.02, 36.68), (-123.06, -121.59)]]",108
"[[(40.1, 41.73), (-122.91, -121.81)]]",686
"[[(38.91, 40.49), (-121.46, -119.89)]]",1211
"[[(37.49, 39.17), (-118.75, -117.15)]]",118
"[[(36.95, 38.49), (-121.17, -119.54)]]",1244
"[[(35.02, 36.61), (-121.34, -120.31)]]",750
"[[(39.33, 40.71), (-122.14, -120.76)]]",942
"[[(33.18, 34.42), (-122.46, -121.01)]]",0
"[[(38.08, 39.51), (-119.87, -118.69)]]",197
"[[(36.21, 37.83), (-121.24, -119.74)]]",1018
"[[(39.49, 40.67), (-119.5, -118.21)]]",0
"[[(37.64, 38.67), (-124.2, -123.02)]]",120
"[[(39.0, 40.25), (-120.95, -119.33)]]",622
"[[(36.44, 37.77), (-117.38, -115.94)]]",94
"[[(38.11, 39.6), (-117.72, -116.65)]]",0
"[[(37.4, 38.83), (-121.31, -120.24)]]",885
"[[(34.81, 36.05), (-118.46, -117.45)]]",419
"[[(39.28, 40.3), (-124.37, -122.97)]]",660
"[[(36.87, 37.91), (-119.83, -118.35)]]",655
"[[(34.47, 35.99), (-119.04, -118.0)]]",752
"[[(36.76, 38.12), (-118.39, -116.97)]]",254
"[[(39.94, 41.45), (-124.22, -122.94)]]",822
"[[(35.6, 37.07), (-117.67, -116.64)]]",448
"[[(38.79, 40.27), (-116.48, -115.18)]]",0
"[[(37.1, 38.24), (-120.69, -119.68)]]",626
"[[(33.53, 34.99), (-119.51, -118.16)]]",989
"[[(33.29, 34.3), (-116.88, -115.81)]]",537
"[[(32.78, 33.89), (-119.72, -118.33)]]",8
"[[(38.91, 40.49), (-123.64, -122.37)]]",1109
"[[(37.47, 38.85), (-118.52, -117.31)]]",44
"[[(35.2, 36.48), (-118.49, -117.08)]]",661
"[[(39.01, 40.63), (-116.18, -115.13)]]",0
"[[(38.37, 39.58), (-121.19, -120.03)]]",750
"[[(34.47, 36.1), (-122.52, -121.0)]]",130
"[[(35.46, 36.78), (-120.31, -119.17)]]",568
"[[(33.17, 34.82), (-118.03, -116.65)]]",1783
"[[(32.65, 33.79), (-123.94, -122.24)]]",0
"[[(37.64, 38.8), (-117.41, -115.87)]]",0
"[[(38.18, 39.86), (-121.91, -120.77)]]",1058
"[[(32.76, 34.43), (-119.57, -118.33)]]",509
"[[(36.4, 37.9), (-123.51, -122.47)]]",56
"[[(35.71, 37.22), (-122.75, -121.48)]]",357
"[[(36.75, 38.08), (-123.41, -122.26)]]",364
"[[(33.08, 34.15), (-119.53, -117.94)]]",541
"[[(32.91, 34.41), (-117.35, -116.28)]]",1306
"[[(40.01, 41.15), (-121.99, -120.49)]]",783
"[[(34.14, 35.54), (-118.65, -117.17)]]",928
"[[(39.48, 40.66), (-122.94, -121.72)]]",675
"[[(35.41, 36.49), (-118.08, -116.56)]]",485
"[[(33.99, 35.11), (-122.03, -120.66)]]",0
"[[(37.73, 39.23), (-121.29, -119.97)]]",1059
"[[(38.04, 39.69), (-117.22, -115.52)]]",0
"[[(38.11, 39.56), (-118.73, -117.11)]]",0
"[[(38.82, 40.04), (-124.21, -122.78)]]",915
"[[(35.67, 36.78), (-119.82, -118.58)]]",751
"[[(38.58, 39.58), (-117.39, -115.97)]]",0
"[[(35.74, 37.2), (-117.86, -116.86)]]",373
"[[(39.9, 40.97), (-123.48, -122.35)]]",517
