SRC Query,Depth,BBoxes,Data Size
"[[(33.72, 35.09), (-116.49, -115.49)]]",2,"[[32.541302, 37.009014], [-117.970444, -114.294258]]",5262
"[[(36.41, 38.07), (-118.36, -116.73)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(35.23, 36.33), (-124.25, -123.23)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(36.4, 37.81), (-119.35, -118.0)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(39.49, 41.12), (-117.9, -116.66)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.6, 38.85), (-120.14, -119.14)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(36.26, 37.85), (-116.81, -115.2)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(38.6, 39.98), (-117.5, -116.12)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(40.23, 41.45), (-121.97, -120.72)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(40.16, 41.85), (-123.03, -121.38)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(37.18, 38.77), (-119.36, -118.08)]]",4,"[[37.009014, 38.773846], [-120.322968, -114.294258]]",1316
"[[(34.07, 35.62), (-121.49, -119.98)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(37.4, 38.71), (-117.24, -115.91)]]",4,"[[37.009014, 38.773846], [-120.322968, -114.294258]]",1316
"[[(34.95, 36.34), (-122.09, -120.72)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(34.14, 35.46), (-122.44, -120.74)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(36.02, 37.32), (-121.91, -120.25)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.72, 35.76), (-122.61, -121.42)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(39.66, 41.36), (-120.66, -119.43)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(35.71, 37.08), (-124.38, -123.25)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(32.59, 33.64), (-118.9, -117.38)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(37.08, 38.15), (-122.09, -120.65)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(35.06, 36.12), (-119.05, -117.94)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(35.36, 36.43), (-116.53, -115.1)]]",5,"[[34.925854, 37.009014], [-116.941383, -114.294258]]",658
"[[(37.35, 39.02), (-118.99, -117.32)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(37.22, 38.82), (-116.45, -115.29)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(39.26, 40.91), (-123.34, -122.26)]]",2,"[[37.009014, 42.017231], [-124.389343, -121.790939]]",5262
"[[(33.63, 34.97), (-121.07, -119.82)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(38.97, 40.04), (-118.37, -117.37)]]",6,"[[38.773846, 40.213436], [-120.430931, -114.294258]]",329
"[[(38.12, 39.68), (-122.17, -121.04)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(39.72, 41.29), (-120.39, -119.37)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(33.69, 34.98), (-118.3, -117.09)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(39.81, 41.27), (-123.89, -122.19)]]",3,"[[39.543308, 42.017231], [-124.389343, -121.790939]]",2631
"[[(34.83, 36.44), (-118.03, -116.51)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(35.02, 36.68), (-123.06, -121.59)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(40.1, 41.73), (-122.91, -121.81)]]",4,"[[39.543308, 42.017231], [-123.049553, -121.790939]]",1316
"[[(38.91, 40.49), (-121.46, -119.89)]]",3,"[[38.773846, 42.017231], [-121.790939, -114.294258]]",2631
"[[(37.49, 39.17), (-118.75, -117.15)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(36.95, 38.49), (-121.17, -119.54)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(35.02, 36.61), (-121.34, -120.31)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(39.33, 40.71), (-122.14, -120.76)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(33.18, 34.42), (-122.46, -121.01)]]",13,"[[32.541302, 34.512501], [-124.389343, -120.432167]]",2
"[[(38.08, 39.51), (-119.87, -118.69)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(36.21, 37.83), (-121.24, -119.74)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(39.49, 40.67), (-119.5, -118.21)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.64, 38.67), (-124.2, -123.02)]]",6,"[[37.009014, 38.777004], [-124.389343, -122.810158]]",328
"[[(39.0, 40.25), (-120.95, -119.33)]]",3,"[[38.773846, 42.017231], [-121.790939, -114.294258]]",2631
"[[(36.44, 37.77), (-117.38, -115.94)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(38.11, 39.6), (-117.72, -116.65)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(37.4, 38.83), (-121.31, -120.24)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(34.81, 36.05), (-118.46, -117.45)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(39.28, 40.3), (-124.37, -122.97)]]",2,"[[37.009014, 42.017231], [-124.389343, -121.790939]]",5262
"[[(36.87, 37.91), (-119.83, -118.35)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.47, 35.99), (-119.04, -118.0)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(36.76, 38.12), (-118.39, -116.97)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(39.94, 41.45), (-124.22, -122.94)]]",3,"[[39.543308, 42.017231], [-124.389343, -121.790939]]",2631
"[[(35.6, 37.07), (-117.67, -116.64)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(38.79, 40.27), (-116.48, -115.18)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.1, 38.24), (-120.69, -119.68)]]",3,"[[37.009014, 38.773846], [-121.790939, -114.294258]]",2631
"[[(33.53, 34.99), (-119.51, -118.16)]]",3,"[[32.541302, 35.551353], [-124.389343, -117.970444]]",2631
"[[(33.29, 34.3), (-116.88, -115.81)]]",2,"[[32.541302, 37.009014], [-117.970444, -114.294258]]",5262
"[[(32.78, 33.89), (-119.72, -118.33)]]",3,"[[32.541302, 35.551353], [-124.389343, -117.970444]]",2631
"[[(38.91, 40.49), (-123.64, -122.37)]]",2,"[[37.009014, 42.017231], [-124.389343, -121.790939]]",5262
"[[(37.47, 38.85), (-118.52, -117.31)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(35.2, 36.48), (-118.49, -117.08)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(39.01, 40.63), (-116.18, -115.13)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(38.37, 39.58), (-121.19, -120.03)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(34.47, 36.1), (-122.52, -121.0)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(35.46, 36.78), (-120.31, -119.17)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(33.17, 34.82), (-118.03, -116.65)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(32.65, 33.79), (-123.94, -122.24)]]",13,"[[32.541302, 34.512501], [-124.389343, -120.432167]]",2
