,L2 Norm
0,0.07274984536066041
1,0.05620088967267335
2,0.0413640477280022
3,0.02131994371474746
4,0.038410154907263794
5,0.03731228573361151
6,0.025394222386445422
7,0.021946867658050873
8,0.026545032782652554
9,0.030616008884242242
10,0.02874242120732879
11,0.019608274897207158
12,0.01815828824401306
13,0.01580910355149972
14,0.01780780103712351
15,0.016790324594837352
16,0.016691176211453752
17,0.0157463458430014
18,0.015290804362784242
19,0.01662648489609274
20,0.018765780358718245
21,0.017307701433917203
22,0.01735439888560043
23,0.017460224639002916
24,0.015356431877229812
25,0.014426565731890863
26,0.014185893996409456
27,0.014292112852756174
28,0.011509399560367598
29,0.011843704375461811
30,0.012852437951234105
31,0.011032310501431688
32,0.010489666960759928
33,0.010860241447162066
34,0.01018287878785576
35,0.009949713067393276
36,0.009515557980566296
37,0.009398228748073115
38,0.008649327975323895
39,0.007213875518748565
40,0.007701593274440135
41,0.006805216753101207
42,0.006310706690153709
43,0.00836948412166544
44,0.007248448109768027
45,0.006519370584391954
46,0.006951779199784254
47,0.005628400206887292
48,0.0054594236071630236
49,0.0043382023926967685
50,0.004803583021284051
51,0.005060147108276247
52,0.004968353391402242
53,0.004683488200945426
54,0.004246281795984467
55,0.004621290569809716
56,0.004906840973057142
57,0.005367043927823454
58,0.005604245425670785
59,0.005742241142039685
60,0.0060494100094118635
61,0.005936355125396215
62,0.005453744197774071
63,0.005021920698298596
64,0.004574213807056114
65,0.004073257090357857
66,0.0043184152394647145
67,0.0042248891797673094
68,0.003865653453500235
69,0.003999132559004492
70,0.003323947839577229
71,0.0033708353362627438
72,0.0035554651358887233
73,0.003510212586612674
74,0.0038801489089409337
75,0.003782500894830104
76,0.004343290151159189
77,0.004045463201918928
78,0.0037796658660051406
79,0.0037835168824785245
80,0.003708781293104126
81,0.0037350327921395793
82,0.003398018857026433
83,0.00308703675364699
84,0.0026264952900491812
85,0.0027295094323855915
86,0.0024986522989150243
87,0.0018021222567015775
88,0.0019374559709679838
89,0.0019268729865180203
90,0.0019975755139229317
91,0.0015131184389227306
92,0.0020811510596103074
93,0.0014119486228385061
94,0.001756775565577932
95,0.0015734560333510773
96,0.0013526331079769622
97,0.0009553854454814159
98,0.00043663244619716993
99,0.0
