,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,1316,4,1316,inf,0.0
1,1408,2631,3,1223,1.8686079545454546,53.51577347016344
2,1831,21048,0,19217,11.495357728017476,8.69916381603953
3,1078,5262,2,4184,4.8812615955473095,20.486507031546942
4,866,5262,2,4396,6.076212471131639,16.45762067654884
5,1498,21048,0,19550,14.050734312416555,7.117065754465983
6,799,21048,0,20249,26.342928660826033,3.7960851387305206
7,0,5262,2,5262,inf,0.0
8,1,1316,4,1315,1316.0,0.07598784194528875
9,547,1316,4,769,2.4058500914076784,41.56534954407295
10,0,1315,4,1315,inf,0.0
11,21,21048,0,21027,1002.2857142857143,0.09977194982896237
12,1429,2631,3,1202,1.841147655703289,54.31394906879513
13,198,5262,2,5064,26.575757575757574,3.762827822120866
14,1936,5262,2,3326,2.71797520661157,36.792094260737365
15,1394,5262,2,3868,3.774748923959828,26.491828202204488
16,2058,10524,1,8466,5.113702623906706,19.555302166476622
17,2141,10524,1,8383,4.915460065390005,20.343975674648423
18,52,1316,4,1264,25.307692307692307,3.951367781155015
19,627,21048,0,20421,33.569377990430624,2.978905359179019
20,445,658,5,213,1.4786516853932585,67.62917933130699
21,1701,5262,2,3561,3.0934744268077603,32.326111744583805
22,1470,2631,3,1161,1.7897959183673469,55.872291904218926
23,0,1316,4,1316,inf,0.0
24,1763,21048,0,19285,11.938740782756664,8.376092740402889
25,1529,5262,2,3733,3.4414650098103334,29.057392626377805
26,783,5262,2,4479,6.7203065134099615,14.880273660205246
27,674,21048,0,20374,31.228486646884274,3.2022044849866966
28,1460,10524,1,9064,7.208219178082191,13.87305207145572
29,1449,10524,1,9075,7.262939958592132,13.768529076396806
30,2532,21048,0,18516,8.312796208530806,12.029646522234891
31,194,21048,0,20854,108.49484536082474,0.9217027746104143
32,579,1315,4,736,2.2711571675302245,44.03041825095057
33,1050,10524,1,9474,10.022857142857143,9.977194982896236
34,98,328,6,230,3.3469387755102042,29.878048780487802
35,614,21048,0,20434,34.28013029315961,2.9171417711896614
36,2120,5262,2,3142,2.482075471698113,40.288863549980995
37,0,1316,4,1316,inf,0.0
38,589,5262,2,4673,8.933786078098471,11.193462561763589
39,550,5262,2,4712,9.567272727272726,10.452299505891297
40,1405,2631,3,1226,1.8725978647686832,53.40174838464462
41,2899,10524,1,7625,3.630217316315971,27.546560243253516
42,1469,10524,1,9055,7.164057181756297,13.958570885594831
43,0,5262,2,5262,inf,0.0
44,1600,5262,2,3662,3.28875,30.40668947168377
45,2357,21048,0,18691,8.929995757318625,11.198213606993539
46,1278,21048,0,19770,16.469483568075116,6.071835803876853
47,823,10524,1,9701,12.787363304981774,7.82022044849867
48,935,21048,0,20113,22.511229946524065,4.4422272900038005
49,793,5262,2,4469,6.635561160151324,15.070315469403269
50,441,21048,0,20607,47.72789115646258,2.09521094640821
51,1219,21048,0,19829,17.26661197703035,5.791524135309769
52,0,5262,2,5262,inf,0.0
53,1813,5262,2,3449,2.9023717595146166,34.45458000760167
54,818,21048,0,20230,25.731051344743275,3.8863549980995815
55,1,2631,3,2630,2631.0,0.03800836183960471
56,791,5262,2,4471,6.652338811630847,15.032307107563664
57,0,1315,4,1315,inf,0.0
58,1647,10524,1,8877,6.389799635701275,15.64994298745724
59,1446,5262,2,3816,3.6390041493775933,27.48004561003421
60,661,2631,3,1970,3.9803328290468984,25.123527175978715
61,1369,10524,1,9155,7.68736303871439,13.008361839604712
62,73,21048,0,20975,288.32876712328766,0.346826301786393
63,0,5262,2,5262,inf,0.0
64,2475,5262,2,2787,2.126060606060606,47.03534777651083
65,1057,5262,2,4205,4.978240302743614,20.087419232231092
66,489,21048,0,20559,43.04294478527607,2.3232611174458384
67,655,2631,3,1976,4.016793893129771,24.89547700494109
68,504,21048,0,20544,41.76190476190476,2.394526795895097
69,23,21048,0,21025,915.1304347826087,0.10927404028886355
70,0,1315,4,1315,inf,0.0
71,113,1316,4,1203,11.646017699115044,8.58662613981763
72,857,21048,0,20191,24.56009334889148,4.071645762067655
73,0,1316,4,1316,inf,0.0
74,1266,21048,0,19782,16.62559241706161,6.014823261117446
75,1940,21048,0,19108,10.849484536082475,9.217027746104144
76,1810,10524,1,8714,5.814364640883978,17.198783732421134
77,2299,5262,2,2963,2.2888212266202697,43.690611934625615
78,2168,21048,0,18880,9.708487084870848,10.300266058532877
79,1740,21048,0,19308,12.096551724137932,8.266818700114024
80,676,10524,1,9848,15.568047337278106,6.423413150893197
81,1063,10524,1,9461,9.900282220131702,10.100722158874953
82,0,5262,2,5262,inf,0.0
83,1221,21048,0,19827,17.23832923832924,5.801026225769669
84,1375,5262,2,3887,3.826909090909091,26.13074876472824
85,777,21048,0,20271,27.08880308880309,3.6915621436716077
86,808,2631,3,1823,3.256188118811881,30.71075636640061
87,632,5262,2,4630,8.325949367088608,12.010642341315089
88,2089,21048,0,18959,10.075634274772618,9.92493348536678
89,598,5262,2,4664,8.799331103678929,11.36450019004181
90,920,5262,2,4342,5.719565217391304,17.48384644621817
91,1110,21048,0,19938,18.962162162162162,5.273660205245154
92,879,5262,2,4383,5.986348122866894,16.704675028506273
93,1015,5262,2,4247,5.1842364532019705,19.289243633599394
94,657,2631,3,1974,4.004566210045662,24.9714937286203
95,0,5262,2,5262,inf,0.0
96,2642,10524,1,7882,3.98334595003785,25.104522995058915
97,623,21048,0,20425,33.78491171749599,2.959901178259217
98,0,1316,4,1316,inf,0.0
99,1073,10524,1,9451,9.808014911463188,10.195743063473964
100,234,1315,4,1081,5.619658119658119,17.79467680608365
101,972,2631,3,1659,2.70679012345679,36.94412770809578
102,383,5262,2,4879,13.738903394255875,7.278601292284302
103,1871,5262,2,3391,2.8123997862105825,35.55682250095021
104,1861,5262,2,3401,2.827512090274046,35.36678069175218
105,1675,10524,1,8849,6.282985074626866,15.916001520334474
106,1489,10524,1,9035,7.06783075889859,14.148612694792853
107,777,1315,4,538,1.6924066924066925,59.08745247148289
108,2648,10524,1,7876,3.974320241691843,25.16153553781832
109,867,5262,2,4395,6.069204152249135,16.476624857468643
110,79,1315,4,1236,16.645569620253166,6.007604562737642
111,0,5262,2,5262,inf,0.0
112,0,5262,2,5262,inf,0.0
113,0,1316,4,1316,inf,0.0
114,0,1316,4,1316,inf,0.0
115,138,21048,0,20910,152.52173913043478,0.6556442417331814
116,0,1316,4,1316,inf,0.0
117,389,1316,4,927,3.3830334190231364,29.559270516717323
118,1386,5262,2,3876,3.7965367965367967,26.339794754846068
119,2386,5262,2,2876,2.2053646269907796,45.343975674648426
120,127,21048,0,20921,165.73228346456693,0.6033827442037248
121,1136,5262,2,4126,4.632042253521127,21.588749524895476
122,1218,21048,0,19830,17.2807881773399,5.7867730900798175
123,0,1316,4,1316,inf,0.0
124,1845,21048,0,19203,11.408130081300813,8.765678449258838
125,1034,5262,2,4228,5.088974854932302,19.650323071075636
126,1375,21048,0,19673,15.307636363636364,6.53268719118206
127,1402,10524,1,9122,7.50641940085592,13.321930824781452
128,0,2,13,2,inf,0.0
129,0,2,13,2,inf,0.0
130,819,2631,3,1812,3.2124542124542126,31.12884834663626
131,0,1316,4,1316,inf,0.0
132,589,21048,0,20459,35.735144312393885,2.798365640440897
133,1436,21048,0,19612,14.657381615598887,6.8225009502090455
134,232,5262,2,5030,22.68103448275862,4.4089699733941465
135,1069,5262,2,4193,4.922357343311506,20.315469403268718
136,0,5262,2,5262,inf,0.0
137,335,21048,0,20713,62.829850746268654,1.5916001520334473
138,3,5262,2,5259,1754.0,0.05701254275940707
139,1148,21048,0,19900,18.334494773519165,5.454199923983277
140,1165,10524,1,9359,9.033476394849785,11.069935385784872
141,866,5262,2,4396,6.076212471131639,16.45762067654884
