BRC Query,Data Size
"[13.23, 48.48, 13.55, 49.42]",0
"[9.66, 52.74, 10.38, 53.03]",0
"[9.32, 51.48, 9.68, 52.08]",0
"[12.8, 52.82, 13.23, 53.17]",102
"[9.87, 51.25, 10.49, 51.59]",29
"[11.65, 49.54, 12.3, 50.31]",0
"[10.16, 52.28, 10.79, 52.86]",150
"[12.9, 52.88, 13.76, 53.84]",22
"[8.17, 50.82, 8.54, 51.31]",0
"[6.88, 53.32, 7.7, 54.21]",0
"[10.91, 48.84, 11.38, 49.6]",157
"[9.95, 52.35, 10.79, 53.12]",225
"[13.25, 51.99, 13.80833333, 52.69]",19285
"[10.19, 54.09, 10.48, 54.38]",0
"[9.61, 48.15, 10.23, 49.12]",0
"[10.27, 50.1, 10.94, 50.64]",0
"[9.57, 49.28, 10.19, 50.21]",61
"[6.87, 48.76, 7.38, 49.54]",0
"[7.24, 50.5, 8.04, 50.83]",39
"[7.56, 48.63, 8.47, 49.02]",137
"[9.16, 53.23, 9.83, 54.04]",12
"[10.06, 50.85, 10.87, 51.36]",52
"[7.19, 53.85, 8.13, 54.14]",0
"[7.5, 54.19, 8.11, 54.65]",0
"[13.49, 51.79, 13.80833333, 52.69]",153
"[11.56, 52.63, 11.89, 53.29]",7
"[9.47, 54.37, 9.99, 54.79805556]",0
"[11.69, 53.91, 12.26, 54.28]",869
"[7.67, 50.9, 8.23, 51.72]",979
"[11.21, 51.22, 11.67, 51.74]",0
"[12.06, 52.44, 12.77, 52.88]",76
"[13.3, 51.56, 13.80833333, 52.29]",0
"[12.33, 52.25, 13.11, 52.68]",156
"[12.15, 50.09, 12.7, 50.92]",0
"[8.9, 51.04, 9.84, 51.92]",48
"[7.41, 49.33, 8.24, 49.84]",0
"[9.06, 54.04, 9.43, 54.68]",0
"[8.72, 52.41, 9.27, 53.15]",0
"[7.6, 50.36, 8.58, 51.1]",8
"[8.67, 49.08, 9.21, 49.85]",0
"[8.41, 52.02, 9.24, 52.78]",551
"[10.29, 50.28, 10.68, 50.73]",0
"[10.79, 51.56, 11.37, 51.85]",0
"[7.61, 52.47, 7.94, 52.81]",0
"[11.28, 54.33, 12.21, 54.79805556]",0
"[8.09, 53.38, 8.43, 54.01]",0
"[7.1, 50.54, 7.95, 51.09]",85
"[10.99, 50.53, 11.84, 51.32]",839
"[11.93, 49.58, 12.22, 50.08]",0
"[10.98, 52.61, 11.45, 53.27]",0
"[11.05, 49.31, 11.66, 49.62]",107
"[12.86, 50.76, 13.45, 51.46]",0
"[9.0, 50.63, 9.61, 51.25]",18
"[9.95, 49.34, 10.77, 50.0]",32
"[10.92, 53.78, 11.45, 54.29]",0
"[8.9, 52.75, 9.72, 53.5]",0
"[9.29, 51.88, 10.24, 52.22]",11
"[8.11, 53.71, 8.61, 54.29]",0
"[9.39, 54.33, 10.08, 54.79805556]",8
"[11.32, 52.64, 12.28, 53.35]",9
"[8.24, 51.18, 9.22, 52.09]",307
"[7.33, 50.92, 7.85, 51.82]",1390
"[7.46, 50.44, 7.9, 50.76]",28
"[6.79, 54.51, 7.31, 54.79805556]",0
"[7.04, 54.3, 7.61, 54.71]",0
"[12.91, 51.94, 13.80833333, 52.89]",19631
"[10.25, 50.7, 10.87, 51.04]",41
"[9.71, 53.23, 10.03, 53.77]",42
"[10.61, 50.95, 11.43, 51.62]",818
"[8.79, 54.34, 9.19, 54.79805556]",0
"[10.51, 51.07, 11.13, 51.39]",0
"[10.8, 51.03, 11.35, 51.34]",0
"[7.73, 52.27, 8.25, 52.98]",0
"[12.06, 52.41, 12.42, 52.93]",54
"[7.95, 50.2, 8.35, 51.14]",0
"[11.59, 50.23, 12.55, 50.89]",9
"[8.8, 51.75, 9.2, 52.23]",47
"[8.38, 52.74, 8.8, 53.58]",0
"[9.19, 49.39, 10.06, 49.89]",54
"[7.31, 49.38, 7.75, 50.25]",0
"[13.24, 53.27, 13.80833333, 53.64]",0
"[12.16, 48.29, 12.95, 48.65]",0
"[12.06, 49.58, 12.95, 50.14]",0
"[7.44, 51.35, 7.88, 51.69]",961
"[6.88, 52.2, 7.87, 52.68]",0
"[7.17, 54.27, 7.72, 54.79805556]",0
"[10.37, 54.07, 11.31, 54.66]",23
"[12.4, 54.04, 13.16, 54.57]",0
"[11.93, 49.83, 12.77, 50.44]",0
"[10.38, 51.33, 11.16, 52.16]",0
"[8.5, 50.28, 9.1, 51.12]",0
"[9.63, 50.82, 10.62, 51.33]",41
"[8.54, 49.61, 9.36, 50.24]",454
"[12.2, 51.81, 12.99, 52.43]",26
"[12.43, 51.13, 13.07, 51.67]",0
"[10.18, 49.16, 10.54, 50.11]",6
"[10.55, 51.61, 10.91, 52.39]",11
"[8.47, 49.79, 9.27, 50.77]",463
"[13.24, 51.11, 13.78, 51.98]",0
"[9.57, 50.57, 10.41, 51.08]",59
"[13.31, 48.25, 13.80833333, 48.99]",0
"[7.44, 49.43, 8.43, 49.91]",0
"[13.05, 48.8, 13.41, 49.32]",0
"[6.96, 49.65, 7.76, 50.48]",359
"[11.12, 52.54, 11.92, 52.91]",57
"[8.66, 53.36, 9.6, 53.95]",0
"[9.96, 52.01, 10.49, 52.76]",126
"[8.32, 48.96, 8.87, 49.63]",174
"[9.03, 49.0, 9.81, 49.58]",0
"[13.09, 49.44, 13.55, 49.84]",0
"[11.79, 53.94, 12.67, 54.28]",869
"[11.96, 52.83, 12.74, 53.77]",6
"[10.72, 54.32, 11.12, 54.73]",0
"[9.61, 53.57, 10.0, 53.86]",12
"[10.04, 50.16, 10.57, 50.58]",0
"[11.11, 48.47, 11.49, 49.0]",8
"[12.71, 49.17, 13.12, 49.67]",0
"[7.66, 48.5, 8.2, 49.35]",0
"[9.68, 53.56, 10.28, 54.49]",33
"[10.29, 54.25, 10.94, 54.57]",0
"[12.37, 49.23, 13.25, 49.79]",0
"[11.0, 54.36, 11.72, 54.79805556]",17
"[8.18, 49.34, 8.75, 50.3]",426
"[8.41, 53.3, 9.22, 54.05]",0
"[11.75, 50.73, 12.09, 51.42]",11
"[11.12, 54.18, 11.96, 54.79805556]",17
"[12.32, 51.25, 13.14, 51.86]",23
"[9.42, 51.46, 9.71, 52.38]",4
"[12.96, 48.24, 13.38, 48.88]",0
"[6.92, 54.33, 7.34, 54.79805556]",0
"[8.53, 48.16, 8.91, 49.14]",0
"[7.43, 48.87, 8.13, 49.65]",0
"[7.71, 53.34, 8.33, 54.05]",0
"[11.38, 54.41, 11.76, 54.79805556]",0
"[7.99, 50.31, 8.3, 50.73]",0
"[12.54, 50.05, 13.38, 50.7]",0
"[10.33, 53.74, 11.2, 54.31]",15
"[12.02, 52.48, 12.52, 53.11]",61
"[8.84, 49.63, 9.41, 50.22]",72
"[10.49, 50.65, 11.24, 51.22]",65
"[12.23, 53.15, 13.22, 54.03]",20
"[11.47, 50.55, 12.33, 51.25]",24
"[8.2, 50.41, 8.7, 51.21]",0
"[8.39, 49.67, 8.8, 50.38]",396
"[8.99, 48.78, 9.3, 49.67]",61
"[11.79, 51.09, 12.73, 51.59]",46
"[10.77, 52.65, 11.23, 53.32]",0
"[8.17, 50.8, 9.14, 51.51]",0
"[8.77, 48.83, 9.67, 49.68]",1
"[9.0, 52.69, 9.97, 53.52]",0
"[10.27, 53.36, 11.25, 54.19]",20
"[8.39, 54.28, 8.82, 54.79805556]",0
"[10.92, 54.01, 11.71, 54.41]",1
"[8.14, 50.4, 8.48, 50.95]",0
"[6.78, 49.96, 7.15, 50.85]",9
"[11.89, 52.73, 12.72, 53.23]",2
"[8.15, 51.4, 9.1, 52.01]",155
"[10.44, 49.73, 11.33, 50.54]",12
"[9.51, 49.74, 9.82, 50.38]",39
"[11.22, 51.68, 11.55, 52.49]",0
"[9.79, 48.23, 10.44, 48.64]",0
"[12.05, 53.27, 12.84, 54.16]",881
"[8.44, 53.83, 9.01, 54.43]",0
"[8.46, 50.71, 9.42, 51.27]",0
"[9.74, 50.01, 10.19, 50.44]",0
"[11.56, 51.64, 12.26, 52.43]",34
"[13.49, 51.1, 13.80833333, 52.01]",0
"[12.76, 53.88, 13.33, 54.45]",0
"[9.83, 52.53, 10.43, 53.2]",0
"[12.87, 54.21, 13.55, 54.77]",0
"[12.61, 53.03, 12.96, 53.75]",5
"[8.98, 53.92, 9.71, 54.42]",7
"[10.1, 53.52, 10.78, 53.95]",16
"[8.57, 51.54, 9.43, 52.23]",250
"[11.35, 53.37, 11.79, 54.12]",0
"[7.09, 50.65, 7.67, 51.19]",72
"[10.23, 48.94, 10.83, 49.56]",1
"[7.52, 49.13, 8.03, 49.94]",0
"[13.18, 49.3, 13.51, 49.69]",0
"[8.98, 50.77, 9.71, 51.06]",11
"[7.87, 50.47, 8.55, 50.86]",0
"[6.98, 52.41, 7.53, 52.97]",0
"[11.55, 50.72, 12.39, 51.2]",18
"[7.99, 50.66, 8.42, 51.3]",0
"[7.52, 54.41, 8.5, 54.79805556]",0
"[8.08, 49.26, 8.87, 50.24]",445
"[9.37, 48.64, 9.77, 48.94]",0
"[10.38, 49.26, 10.83, 49.64]",8
"[9.41, 54.45, 10.28, 54.79805556]",7
"[6.8, 54.08, 7.59, 54.59]",0
"[12.66, 52.69, 12.96, 53.01]",96
"[11.62, 50.83, 11.95, 51.72]",8
"[9.0, 52.04, 9.31, 52.71]",116
"[12.04, 54.29, 12.86, 54.72]",0
"[8.76, 48.44, 9.58, 49.24]",259
"[11.47, 50.05, 12.31, 50.66]",0
"[10.99, 51.26, 11.73, 51.84]",0
"[8.19, 53.65, 8.57, 54.25]",0
"[9.19, 52.47, 9.87, 53.24]",0
"[7.98, 53.9, 8.64, 54.35]",0
"[12.04, 51.52, 12.53, 51.88]",9
"[12.59, 51.8, 13.33, 52.76]",752
"[9.4, 52.85, 9.82, 53.2]",0
"[9.67, 48.6, 10.14, 49.51]",0
"[12.51, 53.25, 13.38, 54.09]",12
"[10.63, 50.9, 11.4, 51.25]",849
"[7.72, 49.35, 8.15, 50.21]",1
"[11.54, 49.57, 12.19, 50.48]",0
"[9.84, 51.82, 10.18, 52.43]",127
"[8.79, 51.14, 9.56, 52.07]",32
"[9.0, 50.03, 9.45, 50.5]",34
"[9.08, 48.84, 9.47, 49.78]",1
"[12.07, 53.89, 12.62, 54.58]",813
"[7.76, 50.57, 8.53, 50.9]",0
"[11.86, 53.77, 12.85, 54.38]",877
"[12.13, 50.36, 12.73, 50.88]",0
"[6.74, 50.55, 7.28, 51.09]",456
"[9.48, 51.12, 10.23, 51.73]",36
"[8.15, 54.44, 8.97, 54.79805556]",0
"[7.48, 53.55, 7.88, 54.21]",0
