,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,26,6,26,inf,0.0
1,22,103,4,81,4.681818181818182,21.35922330097087
2,11,410,2,399,37.27272727272727,2.682926829268293
3,19,821,1,802,43.21052631578947,2.3142509135200973
4,0,4,9,4,inf,0.0
5,0,3,9,3,inf,0.0
6,0,1642,0,1642,inf,0.0
7,9,205,3,196,22.77777777777778,4.390243902439024
8,8,103,4,95,12.875,7.766990291262135
9,37,821,1,784,22.18918918918919,4.506699147381242
10,0,26,6,26,inf,0.0
11,0,51,5,51,inf,0.0
12,119,206,3,87,1.73109243697479,57.76699029126213
13,0,102,4,102,inf,0.0
14,0,411,2,411,inf,0.0
15,2,411,2,409,205.5,0.48661800486618007
16,8,821,1,813,102.625,0.9744214372716199
17,0,411,2,411,inf,0.0
18,7,13,7,6,1.8571428571428572,53.84615384615385
19,6,103,4,97,17.166666666666668,5.825242718446602
20,0,4,9,4,inf,0.0
21,0,4,9,4,inf,0.0
22,0,4,9,4,inf,0.0
23,3,102,4,99,34.0,2.941176470588235
24,0,103,4,103,inf,0.0
25,36,102,4,66,2.8333333333333335,35.294117647058826
26,0,3,9,3,inf,0.0
27,1,25,6,24,25.0,4.0
28,0,411,2,411,inf,0.0
29,0,4,9,4,inf,0.0
30,0,26,6,26,inf,0.0
31,27,103,4,76,3.814814814814815,26.21359223300971
32,23,205,3,182,8.91304347826087,11.219512195121952
33,24,102,4,78,4.25,23.52941176470588
34,0,3,9,3,inf,0.0
35,0,4,9,4,inf,0.0
36,0,3,9,3,inf,0.0
37,18,51,5,33,2.8333333333333335,35.294117647058826
38,241,821,1,580,3.4066390041493775,29.35444579780755
39,1,51,5,50,51.0,1.9607843137254901
40,0,13,7,13,inf,0.0
41,0,3,9,3,inf,0.0
42,3,26,6,23,8.666666666666666,11.538461538461538
43,0,51,5,51,inf,0.0
44,34,52,5,18,1.5294117647058822,65.38461538461539
45,14,821,1,807,58.642857142857146,1.705237515225335
46,0,3,9,3,inf,0.0
47,14,51,5,37,3.642857142857143,27.450980392156865
48,0,103,4,103,inf,0.0
49,0,26,6,26,inf,0.0
50,7,102,4,95,14.571428571428571,6.862745098039216
51,0,103,4,103,inf,0.0
52,0,26,6,26,inf,0.0
53,0,103,4,103,inf,0.0
54,9,51,5,42,5.666666666666667,17.647058823529413
55,0,7,8,7,inf,0.0
56,0,4,9,4,inf,0.0
57,0,4,9,4,inf,0.0
58,2,821,1,819,410.5,0.24360535931790497
59,0,26,6,26,inf,0.0
60,0,3,9,3,inf,0.0
61,17,26,6,9,1.5294117647058822,65.38461538461539
62,0,7,8,7,inf,0.0
63,7,821,1,814,117.28571428571429,0.8526187576126675
64,0,4,9,4,inf,0.0
65,5,26,6,21,5.2,19.230769230769234
66,0,4,9,4,inf,0.0
67,1,52,5,51,52.0,1.9230769230769231
68,0,4,9,4,inf,0.0
69,26,410,2,384,15.76923076923077,6.341463414634147
70,35,206,3,171,5.885714285714286,16.990291262135923
71,0,4,9,4,inf,0.0
72,0,4,9,4,inf,0.0
73,0,103,4,103,inf,0.0
74,4,6,8,2,1.5,66.66666666666666
75,0,13,7,13,inf,0.0
76,33,51,5,18,1.5454545454545454,64.70588235294117
77,3,13,7,10,4.333333333333333,23.076923076923077
78,101,410,2,309,4.0594059405940595,24.634146341463413
79,2,103,4,101,51.5,1.9417475728155338
80,12,205,3,193,17.083333333333332,5.853658536585367
81,7,205,3,198,29.285714285714285,3.414634146341464
82,32,103,4,71,3.21875,31.06796116504854
83,0,4,9,4,inf,0.0
84,7,205,3,198,29.285714285714285,3.414634146341464
85,13,102,4,89,7.846153846153846,12.745098039215685
86,12,25,6,13,2.0833333333333335,48.0
87,31,102,4,71,3.2903225806451615,30.392156862745097
88,24,102,4,78,4.25,23.52941176470588
89,58,205,3,147,3.5344827586206895,28.292682926829265
90,5,13,7,8,2.6,38.46153846153847
91,186,821,1,635,4.413978494623656,22.655298416565163
92,0,25,6,25,inf,0.0
93,21,411,2,390,19.571428571428573,5.109489051094891
94,0,26,6,26,inf,0.0
95,10,103,4,93,10.3,9.70873786407767
96,0,102,4,102,inf,0.0
97,0,4,9,4,inf,0.0
98,6,103,4,97,17.166666666666668,5.825242718446602
99,25,821,1,796,32.84,3.0450669914738127
100,0,3,9,3,inf,0.0
101,0,4,9,4,inf,0.0
102,0,411,2,411,inf,0.0
103,2,4,9,2,2.0,50.0
104,0,411,2,411,inf,0.0
105,0,102,4,102,inf,0.0
106,8,12,7,4,1.5,66.66666666666666
107,27,205,3,178,7.592592592592593,13.170731707317074
108,0,7,8,7,inf,0.0
109,26,103,4,77,3.9615384615384617,25.24271844660194
110,17,205,3,188,12.058823529411764,8.292682926829269
111,8,25,6,17,3.125,32.0
112,0,51,5,51,inf,0.0
113,8,410,2,402,51.25,1.951219512195122
114,15,102,4,87,6.8,14.705882352941178
115,0,4,9,4,inf,0.0
116,17,52,5,35,3.0588235294117645,32.69230769230769
117,66,206,3,140,3.121212121212121,32.038834951456316
118,0,26,6,26,inf,0.0
119,2,4,9,2,2.0,50.0
120,3,26,6,23,8.666666666666666,11.538461538461538
121,56,205,3,149,3.6607142857142856,27.31707317073171
122,0,4,9,4,inf,0.0
123,0,4,9,4,inf,0.0
124,3,51,5,48,17.0,5.88235294117647
125,4,52,5,48,13.0,7.6923076923076925
126,0,3,9,3,inf,0.0
127,12,410,2,398,34.166666666666664,2.9268292682926833
128,0,4,9,4,inf,0.0
129,19,26,6,7,1.368421052631579,73.07692307692307
130,0,411,2,411,inf,0.0
131,4,13,7,9,3.25,30.76923076923077
132,3,6,8,3,2.0,50.0
133,6,13,7,7,2.1666666666666665,46.15384615384615
134,5,13,7,8,2.6,38.46153846153847
135,0,1642,0,1642,inf,0.0
136,6,206,3,200,34.333333333333336,2.912621359223301
137,0,3,9,3,inf,0.0
138,10,103,4,93,10.3,9.70873786407767
139,107,205,3,98,1.9158878504672898,52.19512195121951
140,3,26,6,23,8.666666666666666,11.538461538461538
141,36,51,5,15,1.4166666666666667,70.58823529411765
142,10,103,4,93,10.3,9.70873786407767
143,0,4,9,4,inf,0.0
144,0,103,4,103,inf,0.0
145,0,103,4,103,inf,0.0
146,16,821,1,805,51.3125,1.9488428745432398
147,16,102,4,86,6.375,15.686274509803921
148,10,410,2,400,41.0,2.4390243902439024
149,96,206,3,110,2.1458333333333335,46.601941747572816
150,4,26,6,22,6.5,15.384615384615385
151,0,103,4,103,inf,0.0
152,1,13,7,12,13.0,7.6923076923076925
153,0,103,4,103,inf,0.0
154,0,411,2,411,inf,0.0
155,0,4,9,4,inf,0.0
156,3,13,7,10,4.333333333333333,23.076923076923077
157,4,52,5,48,13.0,7.6923076923076925
158,0,4,9,4,inf,0.0
159,9,51,5,42,5.666666666666667,17.647058823529413
160,3,7,8,4,2.3333333333333335,42.857142857142854
161,0,103,4,103,inf,0.0
162,3,7,8,4,2.3333333333333335,42.857142857142854
163,0,4,9,4,inf,0.0
164,4,25,6,21,6.25,16.0
165,0,103,4,103,inf,0.0
166,5,102,4,97,20.4,4.901960784313726
167,1,13,7,12,13.0,7.6923076923076925
168,0,411,2,411,inf,0.0
169,0,51,5,51,inf,0.0
170,27,52,5,25,1.9259259259259258,51.92307692307693
171,6,102,4,96,17.0,5.88235294117647
172,0,103,4,103,inf,0.0
173,0,411,2,411,inf,0.0
174,8,103,4,95,12.875,7.766990291262135
175,1,13,7,12,13.0,7.6923076923076925
176,26,103,4,77,3.9615384615384617,25.24271844660194
177,219,821,1,602,3.7488584474885847,26.674786845310592
178,0,205,3,205,inf,0.0
179,91,411,2,320,4.516483516483516,22.14111922141119
180,3,6,8,3,2.0,50.0
181,10,103,4,93,10.3,9.70873786407767
182,11,102,4,91,9.272727272727273,10.784313725490197
183,104,821,1,717,7.894230769230769,12.667478684531059
184,0,25,6,25,inf,0.0
185,0,410,2,410,inf,0.0
186,21,103,4,82,4.904761904761905,20.388349514563107
187,0,4,9,4,inf,0.0
188,0,103,4,103,inf,0.0
189,3,13,7,10,4.333333333333333,23.076923076923077
190,0,103,4,103,inf,0.0
191,7,13,7,6,1.8571428571428572,53.84615384615385
192,0,26,6,26,inf,0.0
193,1,205,3,204,205.0,0.4878048780487805
194,0,4,9,4,inf,0.0
195,8,102,4,94,12.75,7.8431372549019605
