SRC Query,Depth,BBoxes,Data Size
"[33.16, -118.33, 34.21, -116.53]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[32.71, -117.58, 34.71, -115.88]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[33.99, -122.29, 35.84, -121.25]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[37.33, -117.6, 39.64, -115.82]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[32.77, -118.61, 34.22, -116.85]",3,"[32.541302, -119.324493, 34.409771, -116.844749]",2631
"[36.0, -120.84, 37.72, -119.79]",4,"[35.81588, -120.871834, 37.971836, -119.435837]",1316
"[37.65, -118.15, 39.64, -116.72]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[37.74, -117.96, 40.25, -115.6]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[35.89, -121.8, 37.78, -120.16]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[38.25, -118.61, 40.72, -116.11]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[33.27, -121.89, 35.42, -120.76]",4,"[32.541302, -124.389343, 35.551353, -119.04274]",1315
"[32.7, -121.34, 34.41, -119.99]",9,"[32.541302, -124.389343, 34.529282, -119.916641]",41
"[33.51, -123.23, 35.83, -120.93]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[35.16, -122.06, 37.22, -119.9]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[37.48, -122.56, 39.25, -121.54]",2,"[37.009014, -122.727531, 42.017231, -120.673553]",5262
"[37.21, -121.65, 39.15, -120.01]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[34.7, -117.86, 37.31, -116.83]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[38.72, -117.99, 40.35, -115.72]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[37.58, -118.29, 39.69, -116.61]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[33.23, -123.86, 34.3, -121.26]",13,"[32.541302, -124.389343, 34.512501, -120.432167]",2
"[33.08, -117.93, 34.57, -115.89]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[33.3, -124.1, 35.93, -122.66]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[35.05, -117.8, 37.84, -116.26]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[36.5, -122.12, 38.33, -121.0]",2,"[34.735394, -124.389343, 39.192303, -120.2724]",5262
"[37.11, -122.51, 39.33, -120.51]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[38.78, -122.16, 40.5, -120.56]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[34.17, -122.62, 35.21, -121.49]",4,"[32.541302, -124.389343, 35.551353, -119.04274]",1315
"[33.56, -118.62, 35.48, -117.48]",2,"[32.541302, -119.324493, 37.009014, -116.844749]",5262
"[38.64, -117.91, 40.18, -116.65]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[37.12, -121.25, 38.45, -119.96]",3,"[37.009014, -121.790939, 38.773846, -114.294258]",2631
"[38.19, -121.52, 40.03, -119.9]",3,"[37.808262, -121.790939, 40.125786, -114.294258]",2631
"[33.37, -118.38, 34.85, -116.65]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[37.1, -122.66, 39.45, -120.75]",2,"[37.009014, -122.727531, 42.017231, -120.673553]",5262
"[32.86, -120.68, 33.99, -118.06]",3,"[32.541302, -124.389343, 35.551353, -117.970444]",2631
"[37.43, -118.18, 39.53, -115.53]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[37.06, -121.87, 39.38, -119.92]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[38.91, -118.76, 40.17, -116.21]",6,"[38.773846, -120.430931, 40.213436, -114.294258]",329
"[33.63, -123.47, 35.23, -120.8]",4,"[32.541302, -124.389343, 35.551353, -119.04274]",1315
"[32.57, -121.21, 33.92, -120.17]",9,"[32.541302, -124.389343, 34.529282, -119.916641]",41
