,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,147,329,6,182,2.238095238095238,44.680851063829785
1,33,329,6,296,9.969696969696969,10.030395136778116
2,0,1315,4,1315,inf,0.0
3,0,329,6,329,inf,0.0
4,128,2631,3,2503,20.5546875,4.865070315469403
5,302,1315,4,1013,4.354304635761589,22.96577946768061
6,25,21048,0,21023,841.92,0.11877613074876472
7,61,329,6,268,5.39344262295082,18.541033434650455
8,0,329,6,329,inf,0.0
9,24,1316,4,1292,54.833333333333336,1.82370820668693
10,112,2631,3,2519,23.491071428571427,4.2569365260357275
11,0,328,6,328,inf,0.0
12,0,658,5,658,inf,0.0
13,112,658,5,546,5.875,17.02127659574468
14,82,1316,4,1234,16.048780487804876,6.231003039513678
15,0,329,6,329,inf,0.0
16,321,1315,4,994,4.0965732087227416,24.4106463878327
17,88,21048,0,20960,239.1818181818182,0.41809198023565186
18,157,657,5,500,4.1847133757961785,23.896499238964992
19,22,165,7,143,7.5,13.333333333333334
20,208,2631,3,2423,12.649038461538462,7.9057392626377805
21,111,658,5,547,5.927927927927928,16.869300911854104
22,236,2631,3,2395,11.148305084745763,8.969973394146711
23,0,1315,4,1315,inf,0.0
24,0,82,8,82,inf,0.0
25,0,1315,4,1315,inf,0.0
26,44,83,8,39,1.8863636363636365,53.01204819277109
27,38,82,8,44,2.1578947368421053,46.34146341463415
28,0,83,8,83,inf,0.0
29,128,329,6,201,2.5703125,38.90577507598784
30,320,2631,3,2311,8.221875,12.162675788673507
31,230,1316,4,1086,5.721739130434782,17.477203647416413
32,267,1315,4,1048,4.925093632958801,20.304182509505704
33,285,1316,4,1031,4.617543859649123,21.656534954407295
34,90,658,5,568,7.311111111111111,13.677811550151976
35,240,658,5,418,2.7416666666666667,36.474164133738604
36,0,82,8,82,inf,0.0
37,120,329,6,209,2.7416666666666667,36.474164133738604
38,0,83,8,83,inf,0.0
39,0,329,6,329,inf,0.0
40,0,83,8,83,inf,0.0
41,0,329,6,329,inf,0.0
42,157,2631,3,2474,16.75796178343949,5.96731280881794
43,0,83,8,83,inf,0.0
44,394,2631,3,2237,6.677664974619289,14.975294564804257
45,89,329,6,240,3.696629213483146,27.0516717325228
46,258,2631,3,2373,10.19767441860465,9.806157354618016
47,274,1316,4,1042,4.802919708029197,20.820668693009118
48,228,658,5,430,2.8859649122807016,34.650455927051674
49,186,657,5,471,3.532258064516129,28.31050228310502
50,90,329,6,239,3.6555555555555554,27.35562310030395
51,0,83,8,83,inf,0.0
52,158,658,5,500,4.1645569620253164,24.012158054711247
