,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
0,937,1316,379,1.4044823906083244,71.20060790273556,4
1,465,2631,2166,5.658064516129032,17.67388825541619,3
2,542,657,115,1.2121771217712176,82.49619482496195,5
3,838,2631,1793,3.139618138424821,31.851007221588752,3
4,196,1316,1120,6.714285714285714,14.893617021276595,4
5,1200,5262,4062,4.385,22.80501710376283,2
6,1043,5262,4219,5.045062320230105,19.821360699353857,2
7,356,1316,960,3.696629213483146,27.0516717325228,4
8,533,1316,783,2.469043151969981,40.5015197568389,4
9,0,2,2,inf,0.0,13
10,638,2631,1993,4.123824451410658,24.249334853667808,3
11,1163,2631,1468,2.2622527944969906,44.203724819460284,3
12,131,1315,1184,10.038167938931299,9.961977186311787,4
13,1272,2631,1359,2.068396226415094,48.346636259977195,3
14,1220,5262,4042,4.31311475409836,23.185100722158875,2
15,1,329,328,329.0,0.303951367781155,6
16,49,1315,1266,26.836734693877553,3.7262357414448664,4
17,798,2631,1833,3.2969924812030076,30.33067274800456,3
18,689,5262,4573,7.637155297532656,13.093880653743822,2
19,1004,10524,9520,10.48207171314741,9.540098821740784,1
20,37,1316,1279,35.567567567567565,2.811550151975684,4
21,0,329,329,inf,0.0,6
22,0,5262,5262,inf,0.0,2
23,450,1316,866,2.9244444444444446,34.19452887537994,4
24,521,1316,795,2.525911708253359,39.589665653495445,4
25,0,1316,1316,inf,0.0,4
26,1170,5262,4092,4.4974358974358974,22.234891676168758,2
27,1388,5262,3874,3.7910662824207493,26.377803116685673,2
28,1015,2631,1616,2.5921182266009852,38.57848726719879,3
29,0,5262,5262,inf,0.0,2
30,0,1316,1316,inf,0.0,4
31,471,5262,4791,11.171974522292993,8.95096921322691,2
32,770,2631,1861,3.416883116883117,29.266438616495627,3
33,1315,10524,9209,8.003041825095057,12.49524895477005,1
34,1444,5262,3818,3.64404432132964,27.4420372481946,2
35,609,2631,2022,4.320197044334975,23.14709236031927,3
36,1467,10524,9057,7.173824130879345,13.939566704675027,1
37,0,1316,1316,inf,0.0,4
38,0,328,328,inf,0.0,6
39,385,1315,930,3.4155844155844157,29.277566539923956,4
40,983,2631,1648,2.676500508646999,37.362219688331436,3
41,775,1316,541,1.6980645161290322,58.890577507598785,4
42,395,1316,921,3.331645569620253,30.015197568389056,4
43,0,1316,1316,inf,0.0,4
44,1002,5262,4260,5.251497005988024,19.04218928164196,2
45,354,1316,962,3.7175141242937855,26.899696048632222,4
46,253,1316,1063,5.201581027667984,19.224924012158056,4
47,614,1316,702,2.1433224755700326,46.6565349544073,4
48,556,2631,2075,4.732014388489208,21.13264918282022,3
49,12,5262,5250,438.5,0.22805017103762829,2
50,990,2631,1641,2.6575757575757577,37.62827822120867,3
51,566,1316,750,2.325088339222615,43.00911854103344,4
52,372,657,285,1.7661290322580645,56.62100456621004,5
53,1087,2631,1544,2.420423183072677,41.31508931965032,3
54,0,5262,5262,inf,0.0,2
55,1144,10524,9380,9.1993006993007,10.870391486126948,1
56,0,2,2,inf,0.0,13
57,1134,2631,1497,2.32010582010582,43.10148232611174,3
58,814,2631,1817,3.232186732186732,30.938806537438236,3
59,791,5262,4471,6.652338811630847,15.032307107563664,2
60,1160,5262,4102,4.536206896551724,22.044849866970733,2
61,58,1316,1258,22.689655172413794,4.407294832826747,4
62,1316,10524,9208,7.996960486322188,12.50475104522995,1
63,0,5262,5262,inf,0.0,2
64,551,2631,2080,4.7749546279491835,20.942607373622195,3
65,1054,1315,261,1.247628083491461,80.15209125475286,4
66,0,5262,5262,inf,0.0,2
67,779,2631,1852,3.3774069319640563,29.608513873052072,3
68,0,328,328,inf,0.0,6
69,1367,10524,9157,7.698610095098757,12.989357658684911,1
70,0,1316,1316,inf,0.0,4
71,432,1316,884,3.0462962962962963,32.82674772036474,4
72,867,2631,1764,3.0346020761245676,32.953249714937286,3
73,1029,5262,4233,5.113702623906706,19.555302166476622,2
74,0,1316,1316,inf,0.0,4
75,1207,2631,1424,2.1797845898922947,45.87609274040289,3
76,1069,5262,4193,4.922357343311506,20.315469403268718,2
77,0,1316,1316,inf,0.0,4
78,438,5262,4824,12.013698630136986,8.323831242873432,2
79,444,1316,872,2.963963963963964,33.73860182370821,4
80,918,2631,1713,2.866013071895425,34.89167616875712,3
81,59,5262,5203,89.1864406779661,1.121246674268339,2
82,0,1316,1316,inf,0.0,4
83,265,1315,1050,4.962264150943396,20.15209125475285,4
84,785,5262,4477,6.703184713375796,14.918282022044849,2
85,0,5262,5262,inf,0.0,2
86,14,1316,1302,94.0,1.0638297872340425,4
87,1928,2631,703,1.3646265560165975,73.28012162675789,3
88,943,2631,1688,2.7900318133616118,35.84188521474724,3
89,153,1316,1163,8.601307189542483,11.626139817629179,4
