,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
0,937,1316,379,1.4044823906083244,71.20060790273556,4
1,465,2631,2166,5.658064516129032,17.67388825541619,3
2,542,657,115,1.2121771217712176,82.49619482496195,5
3,838,2631,1793,3.139618138424821,31.851007221588752,3
4,196,1316,1120,6.714285714285714,14.893617021276595,4
5,1200,5262,4062,4.385,22.80501710376283,2
6,1043,5262,4219,5.045062320230105,19.821360699353857,2
7,356,1316,960,3.696629213483146,27.0516717325228,4
8,533,1316,783,2.469043151969981,40.5015197568389,4
9,0,2,2,inf,0.0,13
