BRC Query,Data Size
"[37.62, -120.5, 39.03, -118.99]",793
"[34.6, -119.08, 36.76, -116.51]",2068
"[38.74, -120.42, 41.33, -118.87]",501
"[33.61, -118.5, 35.17, -117.42]",1403
"[35.28, -119.8, 36.65, -118.29]",1115
"[37.62, -122.67, 39.75, -121.06]",2095
"[32.66, -117.38, 34.19, -114.95]",2274
"[35.07, -121.99, 37.84, -120.97]",1057
"[33.92, -123.99, 35.03, -122.68]",0
"[37.67, -117.23, 39.42, -115.35]",0
"[32.75, -122.63, 34.22, -121.25]",0
"[38.52, -118.65, 40.73, -116.28]",0
"[37.84, -118.48, 40.02, -116.51]",5
"[36.97, -117.87, 38.05, -116.63]",58
"[33.99, -117.7, 35.0, -116.68]",774
"[37.0, -117.92, 38.61, -115.49]",63
"[33.46, -118.82, 35.13, -116.86]",2400
"[34.09, -117.38, 35.99, -116.2]",817
"[38.39, -122.2, 39.75, -119.66]",1693
"[36.14, -119.24, 38.81, -118.23]",973
"[34.91, -117.24, 37.32, -115.09]",796
"[37.76, -121.18, 39.89, -119.92]",1397
"[38.52, -120.21, 40.21, -118.56]",329
"[32.7, -117.5, 33.74, -114.97]",1683
"[37.58, -123.54, 40.36, -121.34]",3290
"[38.49, -122.14, 40.79, -120.72]",1743
"[35.27, -123.06, 36.29, -121.06]",207
"[39.09, -120.01, 41.79, -118.43]",26
"[34.53, -123.2, 37.28, -120.74]",998
"[34.64, -123.95, 35.86, -121.12]",31
"[36.26, -119.14, 38.54, -117.12]",1234
"[35.14, -118.14, 37.4, -116.53]",896
"[38.17, -122.71, 40.69, -120.69]",2748
"[35.06, -118.34, 37.62, -116.26]",1245
"[36.73, -118.17, 38.2, -115.95]",194
"[36.91, -120.0, 39.2, -118.03]",1109
"[33.87, -118.72, 35.0, -116.05]",1944
"[36.67, -119.07, 37.7, -118.01]",505
"[36.55, -121.4, 37.61, -118.6]",1250
"[32.66, -117.63, 35.29, -116.12]",2437
"[32.74, -122.31, 34.23, -119.62]",0
"[36.98, -120.77, 39.62, -119.56]",1472
"[34.51, -119.6, 36.56, -116.93]",2175
"[32.77, -122.01, 34.37, -119.2]",33
"[39.03, -117.84, 40.14, -115.54]",0
"[34.94, -118.31, 37.31, -115.91]",1361
"[34.95, -117.54, 37.25, -116.19]",681
"[35.84, -122.17, 36.92, -119.84]",873
"[37.74, -121.35, 40.09, -120.14]",1538
"[36.52, -119.13, 38.62, -118.09]",735
"[36.75, -121.88, 38.06, -119.63]",1399
"[38.26, -120.97, 39.62, -119.75]",780
"[38.34, -117.56, 39.49, -115.11]",0
"[34.42, -117.43, 36.69, -114.79]",1256
"[33.07, -117.77, 34.85, -116.25]",1809
"[32.57, -120.64, 34.11, -118.86]",10
"[35.44, -123.63, 36.69, -121.23]",274
"[33.58, -120.44, 35.99, -118.66]",1752
"[35.74, -120.44, 37.94, -118.37]",2096
"[34.56, -122.21, 36.14, -120.63]",366
"[34.72, -123.11, 37.26, -121.93]",114
"[34.17, -121.54, 36.95, -120.09]",1420
"[39.13, -119.04, 40.93, -117.01]",0
"[35.79, -121.25, 38.52, -118.9]",2709
"[37.43, -117.98, 39.83, -116.39]",14
"[38.05, -121.23, 40.36, -118.91]",1736
"[36.72, -122.66, 38.96, -121.32]",1962
"[32.62, -118.85, 34.91, -116.98]",2609
"[39.01, -118.65, 41.43, -115.86]",0
"[36.98, -119.88, 38.45, -118.54]",678
"[37.66, -118.46, 38.95, -115.91]",7
"[37.84, -119.94, 38.96, -118.62]",311
"[36.37, -117.75, 38.67, -116.13]",219
"[35.09, -122.59, 36.47, -120.69]",557
"[37.21, -118.45, 39.0, -115.76]",98
"[36.29, -119.75, 37.75, -118.25]",1044
"[37.71, -117.41, 40.43, -115.13]",0
"[34.57, -121.05, 35.72, -119.88]",746
"[38.59, -121.5, 39.6, -119.4]",924
"[33.64, -121.97, 36.05, -120.91]",144
"[37.98, -122.01, 39.81, -119.33]",2147
"[38.53, -120.74, 41.22, -118.84]",1035
"[33.71, -123.09, 35.42, -121.5]",0
"[37.16, -119.51, 38.23, -118.41]",364
"[33.38, -119.09, 34.47, -117.32]",1598
"[37.63, -117.66, 39.95, -115.84]",0
"[32.96, -118.39, 35.2, -117.32]",1528
"[38.67, -123.4, 39.72, -121.65]",974
"[37.41, -117.66, 39.73, -116.34]",0
"[33.21, -123.67, 35.27, -121.08]",0
"[33.63, -120.66, 36.2, -119.13]",1586
"[34.5, -119.37, 36.73, -116.7]",2382
"[34.84, -119.97, 36.25, -117.87]",1357
"[38.25, -118.66, 40.89, -116.28]",0
"[36.56, -121.5, 37.83, -119.82]",865
"[36.24, -121.01, 38.27, -119.2]",1495
"[34.53, -118.46, 36.7, -116.26]",1467
"[33.6, -122.65, 35.6, -120.19]",560
"[35.93, -121.21, 37.48, -118.87]",1465
"[33.45, -123.87, 36.27, -121.81]",0
"[35.86, -120.07, 38.67, -117.3]",2428
"[37.22, -123.95, 39.41, -121.96]",2156
"[35.79, -120.63, 37.83, -118.39]",2063
"[33.98, -121.72, 35.75, -119.1]",1562
"[36.93, -123.83, 39.42, -121.94]",2309
"[34.31, -122.48, 36.7, -120.93]",455
"[34.44, -121.53, 37.04, -118.82]",3090
"[33.82, -120.86, 35.17, -118.51]",1199
"[32.7, -119.79, 33.98, -117.81]",393
"[37.59, -117.22, 40.11, -116.1]",0
"[38.96, -122.87, 41.35, -120.55]",2525
"[37.95, -123.52, 39.24, -120.9]",2038
"[37.49, -120.04, 39.67, -117.38]",720
"[37.03, -121.24, 39.77, -119.62]",2108
"[38.05, -122.01, 40.03, -120.77]",1352
"[38.03, -122.45, 39.48, -121.2]",969
"[33.09, -122.87, 35.44, -121.32]",0
"[36.39, -122.79, 39.18, -121.46]",2150
"[36.55, -123.14, 38.45, -122.04]",1006
"[37.55, -120.95, 39.78, -118.77]",1626
"[37.16, -121.53, 38.56, -119.83]",1236
"[34.77, -117.9, 36.65, -115.85]",956
"[35.88, -117.59, 38.13, -114.84]",445
"[36.96, -121.14, 38.15, -119.5]",965
"[35.37, -122.95, 37.78, -120.7]",1813
"[33.42, -123.7, 35.94, -121.39]",11
"[38.91, -124.21, 40.13, -122.89]",857
"[32.9, -120.31, 34.97, -118.91]",615
"[34.82, -121.64, 36.89, -119.39]",1825
"[35.92, -121.9, 38.48, -119.27]",2857
"[34.88, -117.88, 36.22, -115.79]",696
"[34.68, -118.68, 36.27, -116.44]",1138
"[38.15, -122.99, 39.5, -120.93]",1542
"[35.9, -123.0, 38.64, -121.76]",1562
"[34.15, -121.73, 35.66, -120.61]",203
"[33.72, -122.25, 36.27, -120.04]",1160
"[37.45, -120.18, 39.68, -117.68]",935
"[38.19, -118.82, 40.91, -116.26]",0
"[39.02, -118.7, 40.3, -117.12]",0
"[34.27, -122.64, 35.6, -120.59]",176
"[36.17, -117.34, 37.81, -115.35]",188
"[35.88, -120.85, 37.45, -119.59]",693
"[36.95, -117.55, 38.53, -115.24]",38
"[32.99, -121.73, 35.46, -118.92]",1298
"[35.3, -123.82, 37.02, -122.53]",0
"[34.9, -123.28, 36.16, -121.53]",12
"[33.24, -122.7, 35.47, -121.62]",0
"[37.98, -120.35, 39.75, -118.76]",558
"[38.8, -120.19, 40.65, -119.09]",220
"[34.79, -118.35, 36.1, -116.37]",728
"[35.25, -118.78, 37.36, -117.19]",1232
"[37.42, -119.1, 39.25, -117.54]",233
"[33.3, -120.51, 35.92, -119.28]",1134
"[33.81, -122.63, 36.3, -120.54]",578
"[34.06, -120.16, 35.65, -117.73]",1957
"[37.41, -123.18, 39.55, -121.27]",2442
"[34.69, -120.17, 35.92, -119.13]",548
"[34.38, -119.6, 36.43, -116.84]",2350
"[35.82, -124.08, 37.62, -121.86]",510
"[35.28, -119.79, 36.44, -117.22]",1373
"[35.95, -119.1, 37.1, -117.18]",953
"[37.58, -124.25, 39.91, -122.07]",2309
"[37.61, -122.51, 38.68, -120.52]",1390
"[34.81, -123.32, 36.92, -121.8]",61
"[36.86, -123.83, 39.05, -121.31]",2592
"[35.52, -120.7, 37.04, -118.07]",1862
"[34.11, -119.27, 35.45, -117.21]",1375
"[37.76, -121.06, 39.45, -118.77]",1396
"[36.26, -118.23, 38.46, -116.64]",458
"[37.34, -119.52, 39.62, -118.32]",373
"[38.06, -118.76, 39.15, -117.41]",0
"[35.0, -123.61, 36.8, -121.82]",47
"[36.73, -121.0, 38.12, -119.73]",802
"[33.58, -119.06, 35.93, -117.56]",2180
"[38.84, -122.02, 41.56, -120.21]",2197
"[38.6, -124.389343, 39.86, -121.62]",1705
"[37.65, -121.33, 40.25, -119.54]",2126
"[33.75, -122.01, 35.83, -120.92]",57
"[34.03, -117.68, 36.61, -115.06]",1975
"[36.62, -119.08, 37.8, -117.2]",733
"[37.26, -121.47, 38.52, -119.18]",1344
"[38.48, -123.43, 40.29, -121.39]",1960
"[34.52, -121.63, 35.57, -119.98]",622
"[38.85, -120.72, 39.89, -118.75]",377
"[37.71, -117.18, 39.57, -115.32]",0
"[35.33, -118.98, 36.52, -117.39]",851
"[39.08, -121.81, 40.97, -119.77]",1737
