,L2 Norm
0,0.09015109538990639
1,0.048633527529884146
2,0.05981915338009314
3,0.037339255482668615
4,0.024739037976445215
5,0.01928724391347237
6,0.028171406838589097
7,0.025014395855187062
8,0.012478534655979976
9,0.017833115263464188
10,0.020195658644846737
11,0.022117062292367033
12,0.01855587755176174
13,0.016659115296106777
14,0.016411987488824505
15,0.017494677762108085
16,0.022078076304044156
17,0.022782064637249223
18,0.02318696859154669
19,0.020691060871787105
20,0.02068805235405402
21,0.025736846917526583
22,0.022339931781115086
23,0.02695233446908325
24,0.024035390573069533
25,0.018669054862725524
26,0.01824988039497045
27,0.01827917293712451
28,0.01326139023134505
29,0.01358504079247953
30,0.0124402597414589
31,0.013671983213857456
32,0.01244700722988124
33,0.010710176902057026
34,0.010622828709713735
35,0.009354024683406481
36,0.010727386904683537
37,0.010269285620081562
38,0.010910418209653253
39,0.010262553288533996
40,0.009917410885279455
41,0.00949424219833446
42,0.008618837457165194
43,0.009256277744641763
44,0.008571572309200415
45,0.008897481642808843
46,0.007315034098139846
47,0.008188609975651132
48,0.007306328237895304
49,0.0060282667492406045
50,0.006859192918224918
51,0.007309586798964571
52,0.008540127466548203
53,0.008402297353881547
54,0.006927737994396734
55,0.007187581410364111
56,0.007194175767510653
57,0.006857824020581527
58,0.008013146695620066
59,0.006781346965512547
60,0.006103902382455351
61,0.005749217926273754
62,0.005737083710706434
63,0.00554115285838605
64,0.005088901951985599
65,0.005409288681555443
66,0.005422094104459246
67,0.005724070465932599
68,0.005081036647904549
69,0.005859546545107853
70,0.005549510612842788
71,0.005176746439966285
72,0.004927574154894016
73,0.005041332449929132
74,0.004950645300250127
75,0.004931643542799985
76,0.004400382157310427
77,0.0031911098566217142
78,0.003532984184402164
79,0.0029991665508937344
80,0.0033646544032281418
81,0.003971629011096633
82,0.004535669825873836
83,0.005267777373622561
84,0.004854627158113242
85,0.004858894816994658
86,0.004070591596638521
87,0.003875511163299537
88,0.0040127561403527825
89,0.0038403639230844147
90,0.0037423160417524564
91,0.003869169496131159
92,0.0033076320997848024
93,0.0019368691747483834
94,0.001447913772856921
95,0.001137828096760549
96,0.0015442245982848013
97,0.0014207101485222229
98,0.0008687585124320409
99,0.0
