BRC Query,Data Size
"[33.76, -116.97, 34.23, -116.13]",294
"[39.48, -120.06, 40.48, -119.51]",66
"[34.51, -124.11, 35.25, -123.25]",0
"[40.16, -118.15, 40.81, -117.27]",0
"[40.09, -121.44, 40.67, -120.8]",256
"[34.12, -117.56, 34.78, -116.98]",604
"[32.94, -114.84, 33.5, -114.294258]",50
"[37.22, -118.78, 37.63, -118.07]",122
"[39.9, -118.94, 40.58, -118.2]",0
"[37.44, -118.44, 38.05, -117.72]",48
"[34.86, -117.85, 35.34, -116.9]",224
"[33.99, -122.76, 34.66, -121.93]",0
"[33.53, -119.43, 33.97, -118.56]",0
"[38.71, -122.25, 39.37, -121.86]",224
"[33.08, -114.99, 33.89, -114.53]",164
"[40.53, -116.43, 41.51, -116.03]",0
"[34.41, -120.18, 34.99, -119.3]",642
"[34.37, -114.8, 35.17, -114.294258]",176
"[36.95, -122.11, 37.34, -121.56]",314
"[35.64, -115.96, 36.46, -115.34]",44
"[39.71, -121.08, 40.2, -120.46]",416
"[40.96, -121.7, 41.68, -121.19]",222
"[41.53, -123.27, 42.017231, -122.37]",472
"[34.85, -123.42, 35.55, -122.82]",0
"[40.85, -114.97, 41.25, -114.294258]",0
"[35.34, -123.6, 36.19, -122.77]",0
"[35.42, -115.71, 35.89, -114.9]",88
"[37.56, -123.66, 38.52, -123.05]",76
"[41.18, -116.85, 42.017231, -116.46]",0
"[40.82, -121.32, 41.8, -120.88]",256
"[39.04, -121.94, 39.63, -120.98]",640
"[34.89, -118.11, 35.87, -117.37]",460
"[36.19, -122.12, 36.81, -121.12]",534
"[36.9, -120.38, 37.76, -119.73]",570
"[33.99, -115.81, 34.51, -115.0]",180
"[41.28, -122.68, 41.93, -121.84]",480
"[34.04, -123.99, 34.59, -123.6]",0
"[38.54, -120.07, 39.11, -119.64]",240
"[41.27, -118.55, 42.017231, -117.8]",0
"[38.25, -116.27, 38.87, -115.4]",0
"[41.4, -119.62, 42.017231, -119.15]",0
"[37.5, -116.99, 37.9, -116.59]",0
"[36.56, -121.43, 37.28, -120.68]",314
"[37.98, -116.33, 38.43, -115.65]",0
"[38.18, -120.9, 38.85, -119.9]",788
