,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,1126,21048,19922,18.69271758436945,0,5.349676928924364
1,0,657,657,inf,5,0.0
2,1270,21048,19778,16.57322834645669,0,6.033827442037248
3,0,1316,1316,inf,4,0.0
4,390,5262,4872,13.492307692307692,2,7.411630558722919
5,0,5262,5262,inf,2,0.0
6,328,21048,20720,64.17073170731707,0,1.5583428354237931
7,2077,10524,8447,5.066923447279731,1,19.735841885214747
8,0,5262,5262,inf,2,0.0
9,1149,5262,4113,4.579634464751958,2,21.835803876852907
10,0,5262,5262,inf,2,0.0
11,948,21048,20100,22.20253164556962,0,4.503990877993159
12,0,2,2,inf,13,0.0
13,812,21048,20236,25.92118226600985,0,3.8578487267198787
14,0,82,82,inf,8,0.0
15,846,21048,20202,24.879432624113477,0,4.019384264538198
16,40,21048,21008,526.2,0,0.19004180919802355
17,861,21048,20187,24.445993031358885,0,4.090649942987457
18,1327,10524,9197,7.930670685757347,1,12.609274040288865
19,556,21048,20492,37.856115107913666,0,2.6415811478525275
20,1640,10524,8884,6.417073170731707,1,15.583428354237933
21,899,21048,20149,23.412680756395996,0,4.27118966172558
22,1936,21048,19112,10.87190082644628,0,9.198023565184341
23,0,5262,5262,inf,2,0.0
24,1414,5262,3848,3.721357850070721,2,26.87191182060053
25,3216,10524,7308,3.2723880597014925,1,30.558722919042193
26,2753,21048,18295,7.645477660733745,0,13.079627518053972
27,3049,10524,7475,3.4516234831092163,1,28.97187381223869
28,60,2631,2571,43.85,3,2.280501710376283
29,39,1315,1276,33.717948717948715,4,2.9657794676806084
30,5,21048,21043,4209.6,0,0.023755226149752943
31,443,21048,20605,47.512415349887135,0,2.104713036868111
32,1641,21048,19407,12.826325411334553,0,7.796465222348917
33,842,5262,4420,6.249406175771972,2,16.001520334473586
34,666,21048,20382,31.603603603603602,0,3.164196123147092
35,2055,5262,3207,2.5605839416058394,2,39.05359179019384
36,0,5262,5262,inf,2,0.0
37,3055,21048,17993,6.889689034369885,0,14.51444317749905
38,590,21048,20458,35.67457627118644,0,2.8031166856708474
39,92,5262,5170,57.19565217391305,2,1.7483846446218168
40,0,5262,5262,inf,2,0.0
41,2419,21048,18629,8.70111616370401,0,11.492778411250475
42,629,21048,20419,33.46263910969793,0,2.9884074496389204
43,0,1315,1315,inf,4,0.0
44,509,21048,20539,41.351669941060905,0,2.4182820220448495
45,0,328,328,inf,6,0.0
46,1903,10524,8621,5.530215449290594,1,18.082478145191942
47,1238,5262,4024,4.250403877221324,2,23.527175978715317
48,1522,2631,1109,1.728646517739816,3,57.84872671987837
49,532,21048,20516,39.56390977443609,0,2.5275560623337134
50,2160,10524,8364,4.872222222222222,1,20.524515393386544
51,14,1316,1302,94.0,4,1.0638297872340425
52,1339,5262,3923,3.929798356982823,2,25.446598251615356
53,1930,10524,8594,5.452849740932643,1,18.339034587609273
54,0,1315,1315,inf,4,0.0
55,885,21048,20163,23.783050847457627,0,4.204675028506271
56,1629,5262,3633,3.2302025782688766,2,30.957810718358036
57,0,1315,1315,inf,4,0.0
58,2475,21048,18573,8.504242424242424,0,11.758836944127708
59,185,5262,5077,28.443243243243245,2,3.5157734701634356
