BRC Query,Data Size
"[36.56, -120.17, 38.68, -118.88]",1998
"[32.78, -121.02, 33.83, -119.43]",0
"[35.93, -119.5, 38.77, -118.16]",2256
"[38.92, -118.92, 40.22, -116.6]",0
"[38.51, -120.27, 40.36, -117.57]",692
"[38.59, -117.45, 40.16, -115.15]",0
"[36.68, -118.44, 37.82, -116.1]",581
"[33.25, -118.2, 35.21, -116.75]",3697
"[33.09, -124.21, 35.85, -121.87]",0
"[39.11, -124.13, 40.39, -122.5]",2042
"[38.52, -118.13, 40.91, -115.83]",0
"[36.42, -120.66, 38.14, -119.39]",1687
"[32.76, -123.69, 34.06, -121.52]",0
"[36.68, -119.24, 39.15, -117.77]",1441
"[33.2, -122.71, 34.53, -121.31]",0
"[35.42, -120.18, 37.36, -119.09]",1503
"[36.59, -117.26, 38.12, -115.57]",70
"[35.27, -122.88, 37.17, -120.8]",1532
"[35.14, -118.92, 36.99, -117.19]",2360
"[36.91, -119.14, 39.34, -117.22]",985
"[38.72, -122.24, 41.26, -120.81]",2917
"[34.9, -123.33, 37.74, -121.56]",1603
"[36.99, -121.21, 39.25, -119.24]",3442
"[38.48, -119.29, 40.33, -117.55]",0
"[33.74, -120.89, 35.68, -119.14]",2510
"[37.59, -122.76, 40.16, -120.62]",5725
"[36.85, -124.27, 39.35, -121.53]",4899
"[37.48, -123.0, 39.56, -120.52]",5419
"[33.02, -120.87, 34.03, -118.33]",106
"[33.07, -123.13, 35.46, -120.75]",69
"[35.62, -124.31, 37.16, -122.28]",9
"[35.75, -117.76, 37.74, -116.62]",787
"[36.74, -120.54, 38.46, -117.97]",2913
"[33.28, -121.64, 35.79, -119.97]",1499
"[35.47, -117.65, 37.65, -116.05]",1180
"[37.9, -121.49, 40.07, -118.97]",3654
"[38.31, -118.92, 41.03, -116.12]",0
"[35.7, -123.04, 38.35, -120.27]",5434
"[36.14, -118.34, 37.58, -116.62]",1044
"[34.21, -122.57, 35.98, -120.94]",166
"[38.18, -118.74, 39.97, -117.5]",0
"[35.68, -122.09, 37.82, -119.55]",4308
"[36.02, -123.6, 37.11, -120.77]",1118
"[33.24, -123.13, 34.89, -121.86]",0
"[36.25, -120.75, 37.51, -119.64]",908
"[33.42, -123.6, 34.63, -122.21]",0
"[38.62, -123.62, 39.92, -121.11]",3387
"[37.92, -120.96, 39.96, -119.44]",2201
"[33.88, -120.18, 35.24, -117.99]",2711
"[36.51, -122.97, 37.58, -121.77]",951
"[33.93, -119.31, 36.45, -117.8]",3840
"[37.2, -117.79, 38.7, -116.39]",24
"[37.76, -121.09, 39.58, -119.45]",2382
"[33.67, -118.15, 35.79, -116.74]",3433
"[32.63, -122.95, 35.23, -121.37]",0
"[36.39, -123.3, 37.63, -121.18]",1577
"[33.54, -117.39, 35.09, -114.68]",2904
"[32.95, -123.39, 35.18, -121.24]",0
"[36.07, -123.73, 38.58, -120.99]",4414
"[37.73, -119.28, 39.8, -116.93]",330
"[36.83, -123.65, 39.57, -121.62]",4964
"[34.9, -117.7, 36.53, -115.58]",1527
"[38.96, -121.92, 40.01, -119.38]",1958
"[35.43, -118.66, 37.2, -117.36]",1507
"[34.18, -117.9, 36.63, -116.16]",2382
"[35.86, -119.66, 37.38, -118.56]",1517
"[39.0, -120.64, 41.05, -118.83]",1067
"[32.69, -117.3, 34.99, -115.12]",4542
"[38.86, -119.88, 41.37, -118.83]",0
"[34.96, -121.04, 37.52, -118.82]",4686
"[37.5, -117.44, 39.7, -116.22]",0
"[37.16, -118.6, 38.83, -116.96]",312
"[38.59, -121.45, 40.64, -119.26]",2828
