BRC Query,Data Size
"[38.21, -116.66, 38.75, -116.25]",0
"[36.81, -119.11, 37.66, -118.47]",235
"[38.16, -124.37, 39.08, -123.91]",0
"[34.4, -117.68, 34.82, -117.28]",59
"[32.57, -121.11, 33.15, -120.3]",0
"[39.36, -124.21, 39.84, -123.7]",75
"[41.0, -121.04, 41.42, -120.26]",116
"[33.37, -118.45, 34.16, -118.02]",376
"[38.81, -122.82, 39.19, -121.85]",211
"[33.05, -124.07, 33.48, -123.38]",0
"[33.9, -121.52, 34.38, -120.8]",0
"[36.21, -120.73, 37.12, -120.34]",113
"[35.83, -116.86, 36.34, -116.29]",110
"[35.21, -118.08, 35.62, -117.44]",72
"[35.71, -117.22, 36.31, -116.73]",80
"[34.05, -115.28, 34.53, -114.58]",77
"[38.22, -118.2, 38.74, -117.65]",0
"[36.83, -123.86, 37.69, -122.94]",0
"[34.7, -124.38, 35.14, -123.63]",0
"[37.5, -118.75, 38.29, -118.35]",113
"[41.25, -118.48, 41.65, -117.7]",0
"[35.96, -122.19, 36.69, -121.37]",188
"[36.32, -114.83, 37.12, -114.294258]",0
"[32.66, -121.73, 33.33, -121.31]",0
"[38.41, -117.17, 39.04, -116.24]",0
"[39.32, -124.04, 39.95, -123.2]",390
"[38.98, -119.71, 39.59, -119.28]",0
"[38.86, -121.61, 39.59, -121.09]",206
"[39.93, -122.15, 40.89, -121.66]",191
"[40.2, -118.12, 41.06, -117.71]",0
"[38.2, -123.34, 39.17, -122.58]",519
"[38.0, -115.27, 38.7, -114.5]",0
"[34.94, -121.92, 35.6, -121.39]",0
"[33.32, -123.5, 33.91, -122.58]",0
"[33.03, -115.14, 33.94, -114.56]",108
"[34.68, -118.43, 35.47, -117.65]",219
"[37.93, -117.2, 38.57, -116.45]",0
"[36.82, -118.37, 37.27, -117.64]",108
"[34.85, -122.82, 35.68, -122.0]",0
"[36.83, -123.24, 37.24, -122.66]",0
"[36.19, -120.85, 36.59, -120.04]",130
"[38.42, -114.91, 39.15, -114.294258]",0
"[33.39, -115.66, 34.35, -114.96]",147
"[35.32, -124.02, 36.29, -123.62]",0
"[40.92, -116.06, 41.55, -115.19]",0
"[35.34, -116.36, 36.06, -115.5]",162
"[34.77, -120.22, 35.72, -119.58]",240
"[36.37, -117.08, 37.18, -116.43]",44
"[39.16, -121.79, 39.72, -121.29]",169
"[39.49, -124.12, 40.14, -123.15]",400
"[35.55, -118.71, 36.54, -118.22]",265
"[33.62, -115.5, 34.42, -114.79]",94
"[39.95, -123.88, 40.69, -123.49]",123
"[37.66, -117.09, 38.44, -116.24]",0
"[40.11, -124.02, 40.81, -123.13]",251
"[38.21, -120.73, 38.71, -119.74]",236
"[36.87, -120.51, 37.43, -120.12]",54
"[38.72, -121.63, 39.4, -120.68]",390
"[39.06, -117.07, 40.02, -116.49]",0
"[40.69, -114.92, 41.54, -114.294258]",0
"[36.06, -117.7, 36.99, -117.04]",195
"[34.06, -116.94, 34.67, -116.08]",156
"[40.77, -121.66, 41.58, -121.04]",139
"[37.95, -117.68, 38.55, -117.13]",0
"[34.63, -116.22, 35.2, -115.52]",85
"[39.24, -116.58, 39.73, -116.02]",0
"[35.95, -117.78, 36.67, -117.24]",133
"[37.05, -115.21, 37.45, -114.294258]",0
"[36.02, -119.54, 36.84, -118.97]",249
"[34.7, -123.68, 35.29, -122.85]",0
"[39.92, -116.95, 40.92, -116.17]",0
"[36.57, -123.56, 37.28, -122.73]",0
"[40.75, -118.21, 41.35, -117.23]",0
"[39.42, -122.95, 39.87, -122.43]",145
"[38.6, -122.75, 39.52, -122.03]",364
"[37.99, -122.09, 38.91, -121.66]",220
"[33.92, -114.92, 34.6, -114.36]",89
"[34.73, -121.83, 35.38, -121.17]",0
"[38.09, -123.84, 38.6, -123.15]",28
"[35.91, -117.46, 36.58, -117.04]",89
"[37.35, -115.41, 38.11, -114.6]",0
"[33.09, -121.07, 34.04, -120.16]",0
"[36.08, -122.0, 36.69, -121.16]",225
"[32.63, -116.38, 33.6, -115.69]",271
"[41.17, -123.77, 42.017231, -123.19]",208
"[40.22, -117.06, 41.15, -116.22]",0
"[34.94, -122.4, 35.35, -121.45]",0
"[38.79, -118.82, 39.51, -118.39]",0
"[39.68, -121.54, 40.16, -120.61]",266
"[39.54, -123.39, 40.33, -122.78]",172
"[36.26, -123.46, 37.06, -122.5]",0
"[40.7, -123.38, 41.39, -122.64]",157
"[36.78, -116.92, 37.72, -115.99]",0
"[36.43, -119.39, 37.3, -118.96]",207
"[41.08, -120.08, 41.79, -119.65]",23
