BRC Query,Data Size
"[9.74, 50.77, 11.42, 51.95]",920
"[6.92, 50.24, 7.95, 51.6]",1912
"[9.26, 51.19, 11.38, 52.39]",430
"[11.5, 51.56, 12.68, 53.36]",217
"[11.19, 50.71, 12.71, 52.74]",1087
"[11.25, 52.48, 12.6, 54.27]",1047
"[9.82, 51.86, 10.9, 53.67]",408
"[7.26, 52.01, 8.85, 53.28]",365
"[7.15, 48.23, 9.22, 50.05]",486
"[11.64, 48.28, 12.81, 49.67]",29
"[11.2, 52.05, 13.05, 53.84]",421
"[9.63, 50.46, 11.07, 51.62]",157
"[6.9, 48.55, 8.08, 50.26]",3
"[9.83, 51.35, 11.73, 52.64]",537
"[7.23, 49.17, 8.43, 50.41]",354
"[8.88, 50.77, 10.45, 51.83]",125
"[9.76, 52.6, 11.08, 54.02]",62
"[8.77, 49.07, 10.31, 50.73]",196
"[8.68, 51.55, 10.2, 52.99]",778
"[10.0, 51.42, 11.87, 52.98]",460
"[11.35, 49.47, 13.29, 50.73]",4
"[8.5, 48.79, 10.62, 50.26]",562
"[10.06, 50.12, 11.82, 51.71]",929
"[11.17, 51.32, 12.69, 52.77]",268
"[7.63, 50.32, 9.2, 51.77]",1097
"[10.51, 49.14, 12.47, 50.84]",270
"[9.96, 48.2, 11.88, 50.26]",352
"[10.42, 48.99, 12.08, 50.89]",280
"[7.1, 50.33, 8.1, 52.27]",3428
"[7.13, 48.91, 8.98, 50.75]",1004
"[9.04, 48.16, 10.37, 49.79]",268
"[9.13, 52.29, 10.73, 53.38]",553
"[9.87, 50.54, 11.31, 52.49]",565
"[7.29, 49.85, 9.21, 51.26]",852
"[8.93, 52.36, 10.65, 53.73]",464
"[10.74, 49.94, 12.45, 51.86]",917
"[11.04, 51.55, 13.09, 53.65]",474
"[9.1, 48.97, 11.1, 51.05]",498
"[9.42, 51.92, 10.69, 53.36]",435
"[7.98, 49.26, 9.45, 50.64]",526
"[10.95, 51.67, 12.43, 52.82]",254
"[9.08, 49.56, 10.77, 51.5]",284
"[9.33, 48.61, 10.38, 50.73]",113
"[7.26, 48.91, 8.65, 50.07]",281
"[9.5, 50.41, 10.66, 51.48]",114
"[7.39, 48.61, 8.52, 49.85]",174
"[11.28, 48.6, 12.46, 50.52]",14
"[10.75, 50.27, 12.38, 51.59]",895
"[7.74, 50.76, 8.96, 52.48]",1709
"[9.7, 49.01, 10.74, 50.13]",35
"[7.77, 51.31, 9.69, 52.62]",1983
"[10.21, 52.27, 11.52, 53.51]",308
"[10.63, 50.19, 12.13, 51.58]",895
"[7.58, 52.04, 9.26, 53.29]",460
"[6.8, 49.02, 8.78, 50.37]",772
"[9.61, 48.8, 10.76, 50.48]",40
"[7.49, 52.52, 8.83, 54.56]",0
"[7.04, 48.75, 8.79, 50.45]",944
"[9.37, 48.53, 11.29, 50.59]",349
"[10.61, 51.33, 12.26, 53.15]",406
"[9.94, 48.58, 12.0, 50.21]",292
"[8.5, 52.32, 9.88, 54.0]",377
"[11.53, 49.67, 12.56, 51.61]",62
"[8.89, 51.72, 10.36, 52.9]",650
"[7.96, 52.2, 9.84, 53.65]",586
"[9.21, 51.09, 10.53, 52.15]",81
"[11.56, 50.47, 13.2, 51.96]",78
"[6.85, 52.57, 8.64, 54.29]",0
"[11.45, 50.95, 13.37, 51.98]",70
"[8.54, 50.22, 10.49, 51.96]",182
"[10.43, 52.49, 12.16, 53.62]",116
"[10.18, 51.76, 11.59, 53.15]",348
"[11.25, 49.96, 12.89, 51.69]",867
"[11.4, 50.88, 12.81, 52.7]",285
"[7.2, 48.26, 8.22, 49.81]",0
"[9.58, 50.91, 10.83, 52.1]",105
"[7.93, 52.59, 9.88, 53.79]",9
"[9.27, 49.97, 10.45, 51.5]",148
"[7.4, 51.33, 8.64, 52.33]",3138
"[8.25, 50.27, 9.89, 51.41]",94
"[9.13, 51.8, 10.21, 53.39]",480
"[9.03, 48.3, 10.25, 49.68]",259
"[7.51, 48.25, 9.54, 49.38]",401
"[11.47, 49.01, 13.29, 50.63]",0
"[11.59, 50.31, 13.35, 51.64]",64
"[7.51, 50.7, 8.85, 52.69]",3053
"[7.66, 49.99, 9.15, 51.73]",1475
"[6.95, 49.84, 8.72, 51.31]",1189
"[7.62, 50.95, 9.36, 52.75]",3235
"[8.44, 50.69, 9.88, 52.53]",1029
"[7.59, 48.59, 8.76, 49.93]",183
"[8.62, 48.82, 9.97, 50.12]",373
"[10.91, 52.61, 12.77, 53.8]",19
"[11.33, 50.21, 13.32, 51.31]",181
"[11.61, 52.55, 13.1, 54.55]",1161
"[10.1, 51.71, 11.35, 52.76]",353
"[11.37, 51.88, 13.01, 53.44]",365
"[10.61, 49.59, 11.83, 50.92]",131
"[10.08, 48.33, 12.07, 49.69]",295
"[7.6, 50.03, 9.49, 51.96]",2202
"[11.39, 50.91, 13.41, 52.57]",18582
"[6.88, 48.2, 8.17, 49.86]",0
"[11.12, 51.38, 13.13, 52.99]",482
"[11.2, 52.47, 12.2, 54.12]",438
"[7.26, 48.97, 8.81, 50.21]",578
"[11.69, 49.53, 12.74, 50.63]",0
"[9.93, 50.56, 11.04, 52.28]",153
"[8.59, 50.09, 10.32, 51.32]",434
"[6.96, 49.46, 8.09, 51.35]",728
"[9.68, 52.44, 11.38, 54.28]",157
"[9.4, 51.64, 10.7, 53.54]",450
"[9.97, 50.25, 12.07, 51.97]",948
"[10.49, 48.88, 12.46, 50.1]",252
"[9.64, 52.02, 10.89, 53.52]",505
"[10.25, 51.81, 12.23, 53.27]",478
"[10.45, 52.62, 12.44, 54.47]",904
"[8.67, 51.45, 10.16, 53.21]",795
"[7.64, 49.71, 9.2, 50.8]",470
"[10.8, 49.1, 12.85, 50.64]",256
"[9.36, 48.57, 11.28, 50.09]",327
"[8.39, 50.9, 10.27, 52.58]",1187
"[11.47, 48.36, 13.26, 50.27]",18
"[9.68, 49.58, 11.15, 51.17]",250
"[8.37, 51.99, 9.37, 53.83]",627
"[11.47, 48.2, 12.76, 49.38]",53
"[7.29, 49.48, 9.05, 51.53]",1200
"[9.65, 50.09, 11.27, 51.52]",171
"[8.78, 51.97, 10.29, 53.27]",697
"[10.84, 51.92, 11.85, 53.21]",215
"[10.74, 49.83, 12.04, 51.13]",864
"[10.18, 50.79, 12.18, 51.81]",922
"[8.82, 48.44, 10.28, 49.95]",331
"[7.91, 50.39, 9.91, 51.7]",118
"[11.29, 48.35, 13.0, 49.46]",52
"[9.22, 49.66, 10.81, 51.51]",262
"[11.39, 48.25, 12.9, 49.72]",61
"[9.91, 51.23, 11.68, 52.27]",78
"[9.42, 51.2, 11.32, 53.07]",737
"[9.14, 49.03, 11.12, 50.04]",338
"[9.86, 50.78, 11.63, 52.3]",982
"[7.12, 49.34, 8.18, 50.45]",369
"[7.42, 49.79, 9.05, 51.6]",1464
"[10.86, 50.6, 11.89, 51.97]",855
"[9.21, 52.68, 10.91, 54.76]",98
"[8.76, 49.88, 10.31, 51.73]",233
"[8.69, 50.91, 10.63, 52.58]",972
"[9.36, 52.25, 10.53, 53.49]",399
"[6.86, 48.79, 8.32, 50.65]",384
"[6.95, 51.58, 8.77, 53.18]",2734
"[8.9, 49.96, 10.5, 51.75]",235
"[7.32, 50.95, 8.75, 52.48]",3310
"[8.3, 50.16, 9.79, 51.51]",122
"[8.83, 48.33, 9.96, 50.21]",384
"[7.34, 50.68, 8.41, 52.79]",2949
"[9.01, 52.15, 10.2, 53.8]",558
"[7.14, 49.51, 9.17, 51.51]",1134
"[9.29, 50.78, 10.45, 52.17]",123
"[11.06, 50.46, 12.2, 52.37]",875
"[9.98, 50.29, 11.92, 51.49]",928
"[10.41, 48.74, 11.45, 49.75]",253
"[10.43, 50.51, 12.15, 52.37]",963
"[9.13, 48.81, 10.95, 49.87]",88
"[11.03, 51.19, 12.42, 52.58]",166
"[10.16, 52.45, 11.78, 53.82]",117
"[8.25, 52.67, 9.56, 54.24]",0
"[8.75, 48.41, 10.38, 50.1]",364
"[8.07, 52.54, 9.19, 54.14]",0
"[11.56, 49.06, 13.03, 50.29]",0
"[9.99, 51.5, 11.26, 52.72]",383
"[7.48, 48.85, 9.13, 50.84]",986
"[10.4, 48.18, 11.73, 49.23]",46
"[7.83, 50.77, 9.68, 52.49]",1312
"[10.65, 50.1, 12.64, 51.58]",929
"[8.97, 48.96, 10.43, 50.64]",150
"[10.35, 50.28, 12.36, 52.31]",990
"[8.78, 50.02, 10.25, 52.08]",202
"[8.58, 52.58, 10.56, 54.67]",79
"[9.14, 49.33, 10.49, 50.56]",126
"[10.77, 52.37, 12.56, 53.43]",349
"[10.94, 50.97, 12.18, 53.07]",1039
"[9.44, 51.84, 10.47, 53.16]",341
"[6.79, 48.5, 8.42, 50.03]",129
"[7.91, 52.65, 9.39, 54.52]",0
"[7.76, 48.6, 9.66, 50.06]",605
"[10.91, 52.4, 11.92, 54.48]",166
"[7.6, 48.85, 9.08, 49.89]",183
"[10.55, 50.5, 11.72, 52.43]",1007
"[7.33, 51.64, 8.64, 52.92]",2430
"[7.11, 51.02, 8.91, 52.32]",3583
"[9.07, 50.9, 11.11, 52.66]",961
"[11.17, 49.24, 12.54, 50.34]",10
"[8.59, 51.13, 10.19, 53.17]",942
"[10.87, 50.53, 12.84, 52.25]",939
"[8.09, 48.33, 10.07, 50.11]",826
"[7.5, 52.34, 9.09, 53.6]",0
"[7.0, 50.66, 8.82, 52.03]",3552
"[7.67, 49.34, 9.69, 51.29]",617
"[10.55, 50.56, 12.56, 52.52]",1241
"[11.1, 48.28, 12.68, 50.19]",63
"[11.59, 48.85, 12.83, 50.65]",0
"[11.66, 50.98, 13.31, 52.25]",96
"[9.56, 51.91, 11.18, 53.12]",605
"[10.57, 49.17, 12.49, 50.59]",261
"[6.76, 52.17, 7.93, 53.26]",0
"[9.19, 52.54, 10.46, 54.06]",63
"[6.81, 48.53, 8.13, 50.47]",369
"[10.61, 50.76, 11.9, 52.3]",900
"[11.43, 49.59, 12.84, 50.97]",11
"[11.2, 49.11, 13.11, 51.16]",824
"[8.76, 50.59, 10.04, 51.7]",92
"[9.02, 48.59, 10.27, 50.16]",357
"[8.0, 51.15, 9.09, 52.28]",652
"[9.68, 48.43, 11.45, 49.75]",260
"[7.08, 50.33, 8.84, 51.56]",1169
"[7.81, 48.16, 9.43, 49.93]",445
"[10.72, 52.35, 11.99, 54.1]",326
"[9.25, 48.65, 11.01, 49.8]",141
"[9.86, 51.13, 10.92, 52.23]",52
"[8.44, 48.64, 9.91, 49.82]",303
"[8.47, 49.69, 10.28, 51.81]",689
"[6.81, 48.49, 8.62, 50.28]",277
"[10.43, 52.6, 12.25, 54.29]",902
"[7.34, 51.99, 8.65, 53.61]",183
"[7.81, 50.06, 9.36, 52.13]",1384
"[6.89, 50.83, 8.06, 52.39]",3691
"[7.86, 51.79, 9.66, 53.12]",928
"[9.21, 48.45, 10.71, 49.85]",99
"[10.67, 51.82, 12.12, 53.52]",364
"[7.89, 50.65, 9.25, 52.05]",383
"[10.37, 50.94, 12.19, 52.94]",1296
"[8.28, 50.02, 9.81, 52.0]",672
"[10.57, 49.06, 11.59, 50.61]",261
"[7.35, 49.09, 9.38, 50.73]",897
"[7.09, 50.15, 8.49, 51.46]",542
"[11.31, 51.32, 12.6, 52.92]",245
"[7.66, 49.41, 8.83, 51.49]",448
"[8.07, 49.41, 9.16, 51.01]",487
"[8.68, 52.57, 10.45, 54.15]",68
"[9.66, 49.85, 11.17, 51.4]",151
"[9.23, 52.29, 11.0, 54.07]",744
"[11.12, 51.65, 12.76, 52.91]",243
"[11.53, 50.74, 12.58, 52.48]",110
"[7.61, 50.31, 8.99, 51.73]",1044
"[9.23, 49.85, 10.94, 51.69]",237
"[9.89, 49.92, 11.01, 51.98]",111
"[10.72, 52.56, 12.46, 53.94]",132
"[8.48, 51.99, 10.27, 53.62]",1065
"[10.82, 48.42, 12.78, 50.28]",276
"[11.56, 51.23, 13.46, 52.83]",19683
"[9.74, 51.82, 11.01, 53.64]",538
"[11.01, 50.22, 12.93, 51.66]",887
"[8.38, 49.66, 10.07, 50.9]",581
"[8.87, 49.92, 10.67, 51.82]",242
"[10.8, 50.0, 12.83, 51.2]",866
"[8.5, 51.83, 9.82, 53.61]",887
