BRC Query,Data Size
"[10.28, 48.19, 11.31, 49.54]",68
"[10.33, 50.87, 11.69, 52.18]",100
"[10.8, 51.88, 12.16, 53.26]",84
"[12.2, 51.42, 13.38, 52.54]",316
"[11.58, 51.65, 12.99, 52.72]",98
"[8.35, 52.61, 9.38, 54.02]",0
"[10.21, 51.9, 11.23, 53.04]",90
"[7.85, 51.33, 9.02, 52.39]",242
"[10.38, 51.06, 11.63, 52.32]",26
"[9.84, 50.3, 10.84, 51.54]",68
"[10.74, 48.23, 12.05, 49.26]",60
"[8.83, 49.7, 10.08, 50.86]",136
"[7.8, 51.79, 8.98, 52.83]",186
"[11.74, 49.3, 12.93, 50.35]",0
"[11.3, 48.8, 12.44, 49.92]",4
"[6.76, 52.75, 8.15, 54.16]",0
"[8.37, 49.32, 9.51, 50.35]",260
"[11.83, 48.19, 13.07, 49.5]",0
"[8.17, 50.63, 9.53, 51.95]",102
"[11.4, 51.43, 12.4, 52.79]",84
"[7.05, 48.77, 8.1, 49.8]",0
"[10.06, 49.12, 11.21, 50.26]",114
"[11.16, 52.34, 12.32, 53.6]",52
"[9.77, 48.49, 11.06, 49.67]",56
"[7.43, 51.61, 8.77, 52.98]",328
"[11.12, 48.6, 12.14, 49.64]",28
"[12.12, 52.32, 13.36, 53.34]",334
"[9.93, 49.39, 11.27, 50.46]",124
"[7.21, 53.24, 8.42, 54.41]",0
"[11.81, 48.62, 12.87, 49.93]",0
"[8.52, 51.76, 9.62, 53.15]",170
"[9.45, 49.02, 10.61, 50.17]",48
"[11.39, 50.65, 12.62, 51.95]",94
"[10.56, 52.61, 11.96, 53.71]",14
"[8.51, 51.96, 9.69, 53.0]",186
"[9.21, 49.22, 10.41, 50.46]",62
"[11.88, 53.07, 12.92, 54.22]",54
"[12.18, 50.94, 13.46, 51.99]",56
"[7.75, 51.57, 9.12, 52.62]",298
"[8.5, 48.48, 9.57, 49.78]",84
"[9.59, 52.17, 10.69, 53.32]",148
"[7.3, 52.22, 8.35, 53.52]",0
"[8.99, 50.9, 10.07, 52.14]",88
"[9.86, 51.45, 11.1, 52.85]",152
"[10.48, 50.88, 11.68, 52.07]",82
"[11.78, 52.29, 12.84, 53.55]",68
"[10.67, 52.64, 11.73, 53.89]",8
"[11.02, 48.69, 12.22, 49.71]",52
"[8.46, 52.1, 9.65, 53.27]",130
"[6.75, 52.24, 7.84, 53.3]",0
"[7.69, 48.43, 8.89, 49.44]",30
"[7.98, 50.62, 9.02, 51.69]",18
"[12.01, 49.43, 13.13, 50.54]",0
"[6.91, 49.01, 7.95, 50.03]",0
"[12.06, 49.72, 13.07, 50.97]",0
"[11.99, 52.01, 13.06, 53.31]",76
"[8.26, 51.91, 9.33, 53.16]",170
"[10.57, 49.37, 11.61, 50.72]",118
"[7.15, 53.15, 8.32, 54.19]",0
"[10.05, 49.33, 11.05, 50.73]",76
"[7.74, 52.46, 8.77, 53.51]",0
"[10.22, 52.13, 11.49, 53.49]",98
"[9.79, 51.95, 10.98, 52.98]",150
"[7.95, 53.36, 9.1, 54.5]",0
"[10.2, 50.94, 11.59, 52.11]",82
"[8.39, 49.09, 9.78, 50.13]",252
"[8.69, 52.05, 10.0, 53.17]",198
"[12.28, 50.08, 13.64, 51.15]",0
"[11.75, 49.68, 13.08, 50.78]",0
"[11.09, 53.27, 12.28, 54.6]",52
"[7.27, 49.42, 8.4, 50.75]",74
"[8.14, 52.11, 9.2, 53.44]",90
"[11.86, 51.62, 13.05, 53.0]",102
"[9.83, 49.97, 11.0, 51.16]",54
"[11.42, 51.34, 12.81, 52.35]",80
"[8.84, 52.83, 10.05, 54.23]",44
"[12.11, 49.79, 13.5, 50.95]",0
"[9.71, 52.53, 11.02, 53.79]",50
"[9.83, 49.36, 10.85, 50.76]",36
"[11.03, 49.12, 12.1, 50.46]",48
"[8.33, 48.88, 9.38, 49.93]",72
"[8.74, 50.67, 10.13, 51.96]",110
"[9.24, 52.5, 10.46, 53.58]",32
"[7.88, 53.27, 8.9, 54.44]",0
"[11.07, 50.96, 12.11, 52.14]",78
"[12.28, 52.66, 13.67, 54.01]",64
"[8.33, 50.5, 9.73, 51.7]",90
"[11.53, 48.43, 12.85, 49.78]",4
"[10.76, 49.7, 11.91, 50.91]",48
"[10.21, 48.55, 11.27, 49.68]",88
"[11.9, 51.71, 13.08, 52.76]",84
"[7.22, 49.97, 8.23, 50.97]",90
"[9.2, 53.27, 10.24, 54.56]",66
"[11.8, 49.86, 13.14, 51.03]",0
"[9.7, 48.57, 10.94, 49.67]",18
"[8.43, 48.82, 9.8, 50.04]",116
"[9.19, 49.14, 10.32, 50.5]",64
"[6.95, 50.14, 8.16, 51.49]",394
"[8.66, 49.28, 9.71, 50.46]",142
"[8.97, 51.27, 10.19, 52.53]",220
"[10.62, 52.42, 11.71, 53.83]",52
"[7.35, 52.6, 8.57, 53.8]",0
"[11.04, 49.71, 12.27, 51.08]",88
"[10.9, 50.64, 12.05, 51.87]",104
"[7.71, 49.15, 8.87, 50.32]",206
"[9.78, 52.69, 11.16, 53.9]",54
